Gender,Age,City,Salary
Non-binary,53,Venice,30561
Male,44,Venice,61456
Male,56,Venice,56645
Non-binary,56,Parma,52867
Female,57,Venice,52086
Male,32,Trieste,37054
Male,51,Milan,56416
Male,42,Padua,50874
Non-binary,46,Verona,48506
Male,46,Genoa,48156
Non-binary,37,Trieste,62183
Non-binary,55,Parma,34879
Non-binary,45,Bologna,52896
Male,37,Trieste,51289
Non-binary,54,Genoa,50308
Female,57,Brescia,47250
Male,21,Genoa,24135
Male,57,Bologna,56712
Male,65,Trieste,41614
Male,24,Genoa,24379
Male,31,Verona,43024
Non-binary,58,Parma,43005
Non-binary,31,Trieste,31294
Male,34,Trieste,36112
Non-binary,60,Bologna,43304
Male,23,Padua,27520
Non-binary,28,Brescia,39256
Non-binary,33,Brescia,33984
Non-binary,29,Padua,41423
Non-binary,53,Venice,37400
Female,22,Genoa,24914
Male,28,Parma,41207
Female,18,Venice,21320
Non-binary,44,Bologna,66421
Female,46,Milan,66295
Male,62,Trieste,54890
Male,56,Verona,31038
Non-binary,48,Brescia,48063
Female,36,Turin,58280
Female,20,Brescia,26213
Female,32,Turin,36179
Male,36,Bologna,63110
Male,63,Turin,45597
Female,36,Venice,46838
Male,62,Bologna,50864
Male,47,Trieste,45309
Female,22,Brescia,22807
Male,61,Venice,32709
Female,32,Padua,38189
Female,34,Turin,43849
Non-binary,58,Genoa,44218
Female,55,Trieste,51132
Male,60,Verona,55702
Non-binary,30,Milan,35427
Female,45,Padua,63541
Non-binary,25,Milan,44056
Male,52,Padua,33124
Female,32,Brescia,44660
Male,59,Verona,47306
Non-binary,27,Genoa,30697
Female,35,Padua,52528
Non-binary,27,Turin,33463
Non-binary,22,Verona,29286
Female,21,Genoa,27790
Non-binary,28,Milan,34441
Male,37,Verona,46525
Non-binary,56,Turin,32436
Male,65,Verona,52427
Male,54,Venice,39187
Non-binary,36,Venice,62794
Male,46,Milan,63465
Female,25,Bologna,40782
Male,47,Trieste,46078
Male,62,Venice,35877
Male,37,Trieste,55305
Female,62,Trieste,30513
Female,43,Parma,51788
Female,35,Milan,64235
Non-binary,50,Turin,34724
Female,52,Milan,54649
Male,49,Bologna,68354
Female,46,Genoa,58051
Female,23,Venice,21260
Male,56,Brescia,39806
Non-binary,20,Parma,22661
Female,45,Brescia,63479
Non-binary,65,Padua,37879
Non-binary,38,Turin,63569
Non-binary,56,Bologna,57349
Male,34,Genoa,43917
Non-binary,19,Bologna,26375
Non-binary,23,Turin,28856
Male,32,Milan,35435
Non-binary,61,Genoa,42577
Non-binary,54,Padua,54759
Male,55,Parma,54239
Male,19,Trieste,22292
Female,61,Turin,55903
Female,35,Turin,67587
Female,54,Trieste,53729
Non-binary,20,Parma,21284
Non-binary,29,Brescia,38204
Non-binary,48,Milan,69427
Male,51,Brescia,41333
Non-binary,59,Parma,31759
Female,46,Genoa,48200
Male,35,Venice,59322
Male,29,Bologna,33803
Male,55,Padua,57481
Female,45,Milan,47490
Female,58,Parma,41160
