Gender,Age,City,Salary
Male,61,Parma,177679
Female,37,Genoa,158255
Male,34,Milan,37291
Male,29,Bologna,140071
Non-binary,19,Milan,46868
Female,43,Trieste,96813
Non-binary,46,Brescia,30396
Non-binary,53,Verona,72389
Male,65,Parma,100914
Female,53,Genoa,93759
Male,33,Venice,54010
Non-binary,24,Turin,176772
Female,47,Genoa,33258
Non-binary,24,Genoa,195851
Non-binary,26,Bologna,185642
Female,25,Brescia,177536
Male,18,Milan,98014
Male,21,Genoa,127081
Non-binary,32,Parma,12987
Male,26,Padua,79523
Female,30,Verona,64967
Female,43,Venice,75415
Male,41,Venice,191711
Male,61,Genoa,27771
Non-binary,58,Parma,101876
Female,59,Verona,77281
Male,23,Verona,38320
Male,55,Parma,198852
Male,55,Milan,10335
Non-binary,34,Verona,22621
Female,22,Parma,111171
Non-binary,19,Parma,124876
Female,22,Venice,120009
Female,30,Parma,53604
Non-binary,59,Genoa,118532
Male,46,Trieste,139258
Non-binary,26,Brescia,109277
Male,23,Bologna,102073
Non-binary,39,Venice,153136
Male,25,Trieste,108395
Non-binary,20,Milan,36588
Female,47,Turin,135695
Male,21,Milan,161533
Non-binary,28,Genoa,180647
Non-binary,54,Parma,190134
Male,45,Genoa,69135
Female,64,Milan,52639
Non-binary,43,Brescia,128302
Male,49,Trieste,29322
Male,19,Milan,18758
Female,42,Verona,87308
Female,61,Parma,15263
Female,45,Genoa,93549
Female,29,Venice,78453
Non-binary,40,Verona,37453
Non-binary,31,Venice,29451
Female,29,Verona,99602
Female,35,Milan,54592
Female,35,Milan,108424
Female,46,Venice,52180
Male,27,Parma,29661
Male,20,Venice,153404
Male,57,Turin,34406
Male,57,Brescia,98591
Non-binary,57,Verona,165721
Male,33,Turin,170863
Male,59,Verona,136546
Male,36,Padua,194681
Male,49,Parma,18124
Female,44,Turin,123068
Female,53,Verona,181346
Female,48,Bologna,53253
Female,21,Verona,169204
Male,23,Venice,123823
Non-binary,35,Venice,51183
Female,42,Padua,24039
Male,26,Trieste,36544
Female,44,Verona,96794
Female,30,Venice,63883
Female,59,Brescia,59803
Female,51,Parma,117290
Male,33,Verona,192765
Male,58,Genoa,155257
Male,52,Parma,199277
Non-binary,19,Venice,151590
Female,42,Padua,79537
Non-binary,63,Bologna,183171
Non-binary,40,Bologna,83799
Non-binary,48,Venice,87961
Male,52,Venice,72271
Male,49,Milan,35143
Female,40,Parma,23011
Male,54,Padua,112996
Male,50,Parma,159886
Non-binary,38,Milan,154090
Male,42,Venice,138699
Female,35,Parma,50262
Female,29,Verona,24288
Non-binary,19,Parma,104589
Male,38,Genoa,11000
