attribute,n_classes,baseline,degenerate,model,acc,bal_acc,advantage,dataset,arm,synth,secs
Biopsy,2,0.9353,False,logreg,0.9365,0.5093,0.0012,cervical,base,rtvae,43.7
Biopsy,2,0.9353,False,rf,0.9353,0.5,0.0,cervical,base,rtvae,43.7
STDs:HIV,2,0.9784,False,logreg,0.9784,0.5,0.0,cervical,base,rtvae,43.7
STDs:HIV,2,0.9784,False,rf,0.9784,0.5,0.0,cervical,base,rtvae,43.7
Biopsy,2,0.9353,False,logreg,0.9509,0.7324,0.0156,cervical,base,ddpm,35.5
Biopsy,2,0.9353,False,rf,0.9437,0.6769,0.0084,cervical,base,ddpm,35.5
STDs:HIV,2,0.9784,False,logreg,0.9808,0.5556,0.0024,cervical,base,ddpm,35.5
STDs:HIV,2,0.9784,False,rf,0.9784,0.5,0.0,cervical,base,ddpm,35.5
diabetes,2,0.777,False,logreg,0.7746,0.4991,-0.0024,health,privgen,adsgan,496.1
diabetes,2,0.777,False,rf,0.7749,0.5036,-0.0021,health,privgen,adsgan,496.1
smoker,2,0.8019,False,logreg,0.9042,0.788,0.1023,health,privgen,adsgan,496.1
smoker,2,0.8019,False,rf,0.9055,0.8419,0.1036,health,privgen,adsgan,496.1
class,2,0.7,False,logreg,0.701,0.5017,0.001,german,base,decaf,277.1
class,2,0.7,False,rf,0.699,0.4993,-0.001,german,base,decaf,277.1
Attribute9,4,0.548,False,logreg,0.537,0.2495,-0.011,german,base,decaf,277.1
Attribute9,4,0.548,False,rf,0.495,0.2346,-0.053,german,base,decaf,277.1
class,2,0.7,False,logreg,0.667,0.4879,-0.033,german,privgen,dpgan,97.0
class,2,0.7,False,rf,0.685,0.4931,-0.015,german,privgen,dpgan,97.0
Attribute9,4,0.548,False,logreg,0.181,0.2606,-0.367,german,privgen,dpgan,97.0
Attribute9,4,0.548,False,rf,0.061,0.255,-0.487,german,privgen,dpgan,97.0
Biopsy,2,0.9353,True,,0.9353,0.5,0.0,cervical,privgen,ddpm,30.1
STDs:HIV,2,0.9784,True,,0.9784,0.5,0.0,cervical,privgen,ddpm,30.1
Biopsy,2,0.9353,True,,0.9353,0.5,0.0,cervical,privgen,ctgan,68.4
STDs:HIV,2,0.9784,True,,0.9784,0.5,0.0,cervical,privgen,ctgan,68.4
