Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,target
0.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
2.0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12
2.0,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21
2.0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
2.0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
2.0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
0.0,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
0.0,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16
2.0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
0.0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20
0.0,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
2.0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
2.0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
2.0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21
2.0,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
0.0,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22
2.0,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,22
2.0,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18
2.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
2.0,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13
0.0,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
2.0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
0.0,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,16
0.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
2.0,0.7,0.58,0.205,2.13,0.7415,0.49,0.58,20
2.0,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17
0.0,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
0.0,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
2.0,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16
2.0,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465,21
2.0,0.735,0.59,0.225,1.756,0.637,0.3405,0.58,21
0.0,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
0.0,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
2.0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305,12
1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
1.0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
1.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21
1.0,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
1.0,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
1.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
2.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
0.0,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23
0.0,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
0.0,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17
2.0,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
0.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
2.0,0.655,0.58,0.205,2.0805,0.959,0.3415,0.601,17
2.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
0.0,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
0.0,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
2.0,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
0.0,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
2.0,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8
0.0,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
