Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,target,cluster,distance
2.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,0,5.014199175240116
2.0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,0,3.169281648235994
2.0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,0,0.5998965352422542
2.0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,0,1.1823512375509446
2.0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,0,0.72591974540471
2.0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,0,1.1281940981806102
2.0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,0,2.022833206119527
2.0,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,0,3.158180693528001
2.0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,0,1.2690534601566636
2.0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,0,1.351400570297566
2.0,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,0,1.982264355583076
2.0,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,0,4.979243915502703
2.0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,0,0.995193590084704
2.0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,0,0.0835275620887911
2.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,0,7.987575817496853
2.0,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,0,2.1173260046103937
2.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,0,1.3239030960316291
2.0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,0,1.1392215363141072
2.0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,0,3.1385951183265
2.0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,0,0.5562013616101407
2.0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,0,3.1153052689726786
2.0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,0,2.132855074454225
2.0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,0,2.0829019303740965
2.0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,0,3.1036037198943296
2.0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0,1.114316551655955
2.0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,0,3.1162947309929243
2.0,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0,2.0852464597543494
2.0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,0,2.1161036051539948
2.0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,0,2.9950654213454544
2.0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,0,0.9995263495209308
2.0,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,0,1.0295155888455387
2.0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,0,3.979578833117851
2.0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,0,2.986635477986482
2.0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,0,0.1962919560911992
2.0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,0,4.983979694134107
2.0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,0,2.0016965747971622
2.0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,0,2.9825358023932105
2.0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,0,5.011265998138589
2.0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,0,4.034148900176439
2.0,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,0,1.082152868542354
2.0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,0,2.1048999520792613
2.0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,0,3.0784181452633823
2.0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,0,4.982895164022726
2.0,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,0,4.9826129294101
2.0,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,0,0.3423679590294404
2.0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,0,1.986481718631908
2.0,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,0,1.1610196193772022
2.0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,0,1.229048837697421
2.0,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,0,1.268391316845293
2.0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,0,0.7362446088887847
2.0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,0,2.211623705811945
2.0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,0,4.135881409602071
2.0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,0,6.9841596823516365
2.0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,0,1.420245382748029
2.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,0,1.3733262177761298
2.0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,0,5.9914024102494645
2.0,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,0,1.0093918117512075
2.0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,0,0.5894660669702835
2.0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,0,0.5965612392446982
2.0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,0,4.97870833686487
2.0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,0,0.3514371103251649
2.0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,0,2.9793954315570947
2.0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,0,1.9967113122976603
2.0,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,0,2.023714362284815
2.0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,0,0.9838718843633564
2.0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,0,3.979433961651377
2.0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,0,2.9891359530923283
2.0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,0,2.982681978311283
2.0,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,0,1.980518277671877
2.0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,0,3.983922450139167
2.0,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,0,1.999354837264001
2.0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,0,5.988679545134614
2.0,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,0,4.979321783149167
2.0,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,0,0.1324074162069884
2.0,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,0,2.9922552892910623
2.0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,0,2.1615494557665973
2.0,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,0,3.18649767992804
2.0,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,0,1.1265901877182154
2.0,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,0,0.3094614715668917
2.0,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,0,2.1291901626041687
2.0,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,0,0.6250976985355448
2.0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,0,2.9864462169745485
2.0,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,0,3.9826427331559495
2.0,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,0,6.979338937133125
2.0,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,0,2.9820819939701586
2.0,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15,0,4.984360769844597
2.0,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,0,4.979495205351899
2.0,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10,0,0.1858393154753472
2.0,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11,0,0.9969362997653616
2.0,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,6,0,4.1712528694809965
2.0,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,14,0,3.981848168338896
2.0,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8,0,2.205628830068502
2.0,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,9,0,1.129696958954282
2.0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16,0,5.982001395307038
2.0,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,14,0,3.986058204245672
2.0,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15,0,5.0106231901896585
2.0,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13,0,2.9924719035940543
2.0,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,14,0,4.005971659343638
2.0,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14,0,3.982495367482807
2.0,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10,0,0.3724241979456736
2.0,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,9,0,1.221503945832065
2.0,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17,0,6.978822810597125
2.0,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,15,0,4.97953009957871
2.0,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11,0,1.124058991107995
2.0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,0,1.388719287746745
2.0,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8,0,2.221226999627533
2.0,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6,0,4.135311383139002
2.0,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14,0,3.993101386133061
2.0,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10,0,0.1272261885103795
2.0,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14,0,3.978570388394546
2.0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,0,0.7629486199056037
2.0,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,11,0,1.3128821495565213
2.0,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7,0,3.170944264928889
2.0,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12,0,2.024881215274207
2.0,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,8,0,2.226553022321994
2.0,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12,0,2.0412142334123504
2.0,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11,0,1.0469276110406645
2.0,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,14,0,3.979855457417626
2.0,0.59,0.45,0.185,1.283,0.473,0.276,0.425,16,0,5.986308063091791
