Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,target
2.0,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
2.0,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20
2.0,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19
2.0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
2.0,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20
2.0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
2.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
2.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22
2.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20
2.0,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
2.0,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
2.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
2.0,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18
2.0,0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20
2.0,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
2.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
2.0,0.565,0.44,0.175,1.122,0.393,0.2,0.375,20
2.0,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19
2.0,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20
2.0,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
2.0,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
2.0,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19
2.0,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
2.0,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
2.0,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
2.0,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20
0.0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
0.0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
0.0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
0.0,0.565,0.455,0.175,1.013,0.342,0.207,0.35,19
0.0,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
0.0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445,20
0.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
0.0,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21
0.0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,19
0.0,0.58,0.46,0.15,0.9955,0.429,0.212,0.26,19
0.0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
0.0,0.59,0.455,0.155,1.066,0.382,0.2275,0.415,20
0.0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
0.0,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
0.0,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19
0.0,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
0.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22
0.0,0.57,0.45,0.17,1.098,0.414,0.187,0.405,20
0.0,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
0.0,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19
0.0,0.585,0.47,0.17,1.099,0.3975,0.2325,0.358,20
0.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
0.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19
0.0,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
0.0,0.67,0.535,0.185,1.597,0.6275,0.35,0.47,21
1.0,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16
1.0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16
1.0,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18
1.0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25,17
1.0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
1.0,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18
1.0,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
1.0,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16
1.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17
1.0,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
1.0,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17
1.0,0.44,0.33,0.135,0.522,0.17,0.0905,0.195,16
1.0,0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
