,Gender,Age,City,Salary
0,2.0,53,8.0,30561
1,1.0,44,8.0,61456
2,1.0,56,8.0,56645
3,2.0,56,5.0,52867
4,0.0,57,8.0,52086
5,1.0,32,6.0,37054
6,1.0,51,3.0,56416
7,1.0,42,4.0,50874
8,2.0,46,9.0,48506
9,1.0,46,2.0,48156
10,2.0,37,6.0,62183
11,2.0,55,5.0,34879
12,2.0,45,0.0,52896
13,1.0,37,6.0,51289
14,2.0,54,2.0,50308
15,0.0,57,1.0,47250
16,1.0,21,2.0,24135
17,1.0,57,0.0,56712
18,1.0,65,6.0,41614
19,1.0,24,2.0,24379
20,1.0,31,9.0,43024
21,2.0,58,5.0,43005
22,2.0,31,6.0,31294
23,1.0,34,6.0,36112
24,2.0,60,0.0,43304
25,1.0,23,4.0,27520
26,2.0,28,1.0,39256
27,2.0,33,1.0,33984
28,2.0,29,4.0,41423
29,2.0,53,8.0,37400
30,0.0,22,2.0,24914
31,1.0,28,5.0,41207
32,0.0,18,8.0,21320
33,2.0,44,0.0,66421
34,0.0,46,3.0,66295
35,1.0,62,6.0,54890
36,1.0,56,9.0,31038
37,2.0,48,1.0,48063
38,0.0,36,7.0,58280
39,0.0,20,1.0,26213
40,0.0,32,7.0,36179
41,1.0,36,0.0,63110
42,1.0,63,7.0,45597
43,0.0,36,8.0,46838
44,1.0,62,0.0,50864
45,1.0,47,6.0,45309
46,0.0,22,1.0,22807
47,1.0,61,8.0,32709
48,0.0,32,4.0,38189
49,0.0,34,7.0,43849
50,2.0,58,2.0,44218
51,0.0,55,6.0,51132
52,1.0,60,9.0,55702
53,2.0,30,3.0,35427
54,0.0,45,4.0,63541
55,2.0,25,3.0,44056
56,1.0,52,4.0,33124
57,0.0,32,1.0,44660
58,1.0,59,9.0,47306
59,2.0,27,2.0,30697
60,0.0,35,4.0,52528
61,2.0,27,7.0,33463
62,2.0,22,9.0,29286
63,0.0,21,2.0,27790
64,2.0,28,3.0,34441
65,1.0,37,9.0,46525
66,2.0,56,7.0,32436
67,1.0,65,9.0,52427
68,1.0,54,8.0,39187
69,2.0,36,8.0,62794
70,1.0,46,3.0,63465
71,0.0,25,0.0,40782
72,1.0,47,6.0,46078
73,1.0,62,8.0,35877
74,1.0,37,6.0,55305
75,0.0,62,6.0,30513
76,0.0,43,5.0,51788
77,0.0,35,3.0,64235
78,2.0,50,7.0,34724
79,0.0,52,3.0,54649
80,1.0,49,0.0,68354
81,0.0,46,2.0,58051
82,0.0,23,8.0,21260
83,1.0,56,1.0,39806
84,2.0,20,5.0,22661
85,0.0,45,1.0,63479
86,2.0,65,4.0,37879
87,2.0,38,7.0,63569
88,2.0,56,0.0,57349
89,1.0,34,2.0,43917
90,2.0,19,0.0,26375
91,2.0,23,7.0,28856
92,1.0,32,3.0,35435
93,2.0,61,2.0,42577
94,2.0,54,4.0,54759
95,1.0,55,5.0,54239
96,1.0,19,6.0,22292
97,0.0,61,7.0,55903
98,0.0,35,7.0,67587
99,0.0,54,6.0,53729
100,2.0,20,5.0,21284
101,2.0,29,1.0,38204
102,2.0,48,3.0,69427
103,1.0,51,1.0,41333
104,2.0,59,5.0,31759
105,0.0,46,2.0,48200
106,1.0,35,8.0,59322
107,1.0,29,0.0,33803
108,1.0,55,4.0,57481
109,0.0,45,3.0,47490
110,0.0,58,5.0,41160
111,0.0,49,9.0,64830
112,1.0,23,2.0,29758
113,1.0,48,5.0,57999
114,2.0,40,4.0,55694
115,2.0,44,8.0,45970
116,0.0,39,7.0,65778
117,1.0,38,1.0,53956
118,2.0,60,9.0,55675
119,0.0,24,7.0,27381
120,0.0,28,1.0,38038
121,2.0,39,1.0,52475
122,0.0,44,1.0,56659
123,1.0,62,1.0,48121
124,0.0,49,1.0,57301
125,1.0,36,3.0,59150
126,1.0,60,4.0,36086
127,2.0,43,6.0,67272
128,2.0,53,3.0,49197
129,2.0,20,4.0,26227
130,0.0,47,9.0,47808
131,2.0,23,0.0,24839
132,2.0,38,3.0,53075
133,0.0,34,9.0,41683
134,2.0,38,7.0,47408
135,0.0,25,9.0,31344
136,0.0,43,2.0,53780
137,1.0,50,7.0,35053
138,1.0,18,5.0,26225
139,2.0,60,9.0,53320
140,0.0,52,8.0,55686
141,1.0,47,3.0,65771
142,1.0,44,9.0,50055
143,1.0,21,1.0,26383
144,1.0,30,9.0,35188
145,2.0,51,8.0,41819
146,1.0,41,6.0,48491
147,2.0,57,6.0,32998
148,0.0,49,8.0,45170
149,2.0,58,8.0,40101
150,1.0,46,7.0,59573
151,0.0,21,6.0,25896
152,0.0,31,3.0,42473
153,2.0,35,0.0,53839
