Gender,Age,City,Salary
2.0,53,8.0,30561
1.0,44,8.0,61456
1.0,56,8.0,56645
2.0,56,5.0,52867
0.0,57,8.0,52086
1.0,32,6.0,37054
1.0,51,3.0,56416
1.0,42,4.0,50874
2.0,46,9.0,48506
1.0,46,2.0,48156
2.0,37,6.0,62183
2.0,55,5.0,34879
2.0,45,0.0,52896
1.0,37,6.0,51289
2.0,54,2.0,50308
0.0,57,1.0,47250
1.0,21,2.0,24135
1.0,57,0.0,56712
1.0,65,6.0,41614
1.0,24,2.0,24379
1.0,31,9.0,43024
2.0,58,5.0,43005
2.0,31,6.0,31294
1.0,34,6.0,36112
2.0,60,0.0,43304
1.0,23,4.0,27520
2.0,28,1.0,39256
2.0,33,1.0,33984
2.0,29,4.0,41423
2.0,53,8.0,37400
0.0,22,2.0,24914
1.0,28,5.0,41207
0.0,18,8.0,21320
2.0,44,0.0,66421
0.0,46,3.0,66295
1.0,62,6.0,54890
1.0,56,9.0,31038
2.0,48,1.0,48063
0.0,36,7.0,58280
0.0,20,1.0,26213
0.0,32,7.0,36179
1.0,36,0.0,63110
1.0,63,7.0,45597
0.0,36,8.0,46838
1.0,62,0.0,50864
1.0,47,6.0,45309
0.0,22,1.0,22807
1.0,61,8.0,32709
0.0,32,4.0,38189
0.0,34,7.0,43849
2.0,58,2.0,44218
0.0,55,6.0,51132
1.0,60,9.0,55702
2.0,30,3.0,35427
0.0,45,4.0,63541
2.0,25,3.0,44056
1.0,52,4.0,33124
0.0,32,1.0,44660
1.0,59,9.0,47306
2.0,27,2.0,30697
0.0,35,4.0,52528
2.0,27,7.0,33463
2.0,22,9.0,29286
0.0,21,2.0,27790
2.0,28,3.0,34441
1.0,37,9.0,46525
2.0,56,7.0,32436
1.0,65,9.0,52427
1.0,54,8.0,39187
2.0,36,8.0,62794
1.0,46,3.0,63465
0.0,25,0.0,40782
1.0,47,6.0,46078
1.0,62,8.0,35877
1.0,37,6.0,55305
0.0,62,6.0,30513
0.0,43,5.0,51788
0.0,35,3.0,64235
2.0,50,7.0,34724
0.0,52,3.0,54649
1.0,49,0.0,68354
0.0,46,2.0,58051
0.0,23,8.0,21260
1.0,56,1.0,39806
2.0,20,5.0,22661
0.0,45,1.0,63479
2.0,65,4.0,37879
2.0,38,7.0,63569
2.0,56,0.0,57349
1.0,34,2.0,43917
2.0,19,0.0,26375
2.0,23,7.0,28856
1.0,32,3.0,35435
2.0,61,2.0,42577
2.0,54,4.0,54759
1.0,55,5.0,54239
1.0,19,6.0,22292
0.0,61,7.0,55903
0.0,35,7.0,67587
0.0,54,6.0,53729
2.0,20,5.0,21284
2.0,29,1.0,38204
2.0,48,3.0,69427
1.0,51,1.0,41333
2.0,59,5.0,31759
0.0,46,2.0,48200
1.0,35,8.0,59322
1.0,29,0.0,33803
1.0,55,4.0,57481
0.0,45,3.0,47490
0.0,58,5.0,41160
0.0,49,9.0,64830
1.0,23,2.0,29758
1.0,48,5.0,57999
2.0,40,4.0,55694
2.0,44,8.0,45970
0.0,39,7.0,65778
1.0,38,1.0,53956
2.0,60,9.0,55675
0.0,24,7.0,27381
0.0,28,1.0,38038
2.0,39,1.0,52475
0.0,44,1.0,56659
1.0,62,1.0,48121
0.0,49,1.0,57301
1.0,36,3.0,59150
1.0,60,4.0,36086
2.0,43,6.0,67272
2.0,53,3.0,49197
2.0,20,4.0,26227
0.0,47,9.0,47808
2.0,23,0.0,24839
2.0,38,3.0,53075
0.0,34,9.0,41683
2.0,38,7.0,47408
0.0,25,9.0,31344
0.0,43,2.0,53780
1.0,50,7.0,35053
1.0,18,5.0,26225
2.0,60,9.0,53320
0.0,52,8.0,55686
1.0,47,3.0,65771
1.0,44,9.0,50055
1.0,21,1.0,26383
1.0,30,9.0,35188
2.0,51,8.0,41819
1.0,41,6.0,48491
2.0,57,6.0,32998
0.0,49,8.0,45170
2.0,58,8.0,40101
1.0,46,7.0,59573
0.0,21,6.0,25896
0.0,31,3.0,42473
2.0,35,0.0,53839
0.0,53,2.0,33349
2.0,26,3.0,32170
0.0,36,2.0,47860
2.0,46,3.0,51140
1.0,62,9.0,44122
2.0,49,0.0,59707
2.0,25,1.0,39125
1.0,19,4.0,29088
2.0,58,1.0,46791
2.0,56,6.0,43370
0.0,33,0.0,31692
2.0,63,3.0,30860
0.0,28,2.0,31468
1.0,37,0.0,56597
0.0,53,9.0,48160
0.0,18,3.0,21524
1.0,53,9.0,49560
0.0,44,0.0,64596
1.0,23,7.0,25315
2.0,32,9.0,44151
2.0,25,4.0,36311
0.0,47,4.0,45404
2.0,25,6.0,34781
1.0,59,4.0,43559
2.0,27,9.0,36353
1.0,49,8.0,47775
2.0,63,6.0,53751
0.0,36,6.0,63334
2.0,50,9.0,59661
2.0,63,1.0,37954
2.0,35,0.0,63741
1.0,44,7.0,62075
1.0,48,4.0,50556
0.0,48,7.0,67456
1.0,33,4.0,36237
2.0,47,5.0,50554
2.0,53,8.0,34549
1.0,27,1.0,34405
2.0,42,0.0,54867
0.0,30,9.0,34397
0.0,56,7.0,46158
1.0,50,7.0,34781
1.0,65,9.0,32073
0.0,26,0.0,32739
0.0,22,0.0,27121
1.0,35,6.0,54042
1.0,44,5.0,58798
1.0,39,4.0,54822
2.0,50,8.0,45867
1.0,35,6.0,47520
1.0,18,9.0,25916
2.0,36,6.0,53247
0.0,64,3.0,38080
1.0,37,9.0,68622
2.0,55,5.0,50481
1.0,55,4.0,46246
1.0,60,0.0,49457
2.0,49,3.0,65207
0.0,27,7.0,33203
2.0,46,4.0,60003
1.0,52,9.0,33505
0.0,48,1.0,49439
2.0,40,8.0,54983
2.0,39,3.0,45221
0.0,53,8.0,42966
1.0,52,5.0,40886
2.0,42,6.0,65322
2.0,47,3.0,57448
2.0,38,8.0,55798
1.0,30,7.0,37212
2.0,62,2.0,40968
0.0,33,9.0,37055
0.0,54,9.0,56721
2.0,42,4.0,66333
2.0,32,5.0,39738
0.0,44,3.0,49460
0.0,20,5.0,24922
2.0,38,8.0,55507
0.0,65,6.0,49766
1.0,48,9.0,67783
1.0,63,9.0,36581
1.0,42,6.0,60696
1.0,42,7.0,55295
0.0,60,5.0,35820
1.0,59,8.0,43049
2.0,27,1.0,35228
2.0,49,9.0,54550
1.0,20,4.0,28044
2.0,26,9.0,39435
1.0,50,0.0,55623
1.0,55,2.0,37943
1.0,39,7.0,55678
2.0,24,3.0,26161
2.0,46,8.0,54184
1.0,24,6.0,26437
1.0,51,1.0,41960
1.0,47,4.0,48731
1.0,18,1.0,29238
0.0,64,7.0,36547
1.0,27,0.0,39703
2.0,44,0.0,62879
1.0,59,6.0,35895
0.0,27,2.0,41169
2.0,22,5.0,29012
0.0,48,0.0,45881
1.0,34,6.0,41914
2.0,39,2.0,60126
1.0,57,7.0,53211
2.0,62,8.0,36869
2.0,43,7.0,59367
2.0,59,6.0,56138
0.0,23,8.0,24773
1.0,39,6.0,67702
0.0,61,7.0,32266
0.0,52,9.0,56835
1.0,42,9.0,58406
1.0,38,7.0,67052
1.0,58,1.0,46361
2.0,63,1.0,34560
0.0,49,0.0,65753
0.0,52,0.0,39923
0.0,20,8.0,23965
0.0,57,8.0,38279
0.0,22,9.0,22525
2.0,33,1.0,41718
1.0,58,2.0,43865
2.0,61,7.0,55856
2.0,36,2.0,57353
2.0,32,8.0,31211
1.0,65,2.0,44715
1.0,23,6.0,29796
0.0,45,3.0,60703
2.0,24,9.0,29539
0.0,58,1.0,43133
1.0,63,5.0,47510
1.0,24,9.0,28300
1.0,46,6.0,67665
1.0,28,1.0,36853
