Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class
0.0,21.0,0.0,9.0,852.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
3.0,2.0,1.0,0.0,64.0,4.0,2.0,0.0,2.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,17.0,2.0,3.0,841.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,11.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
1.0,2.0,3.0,9.0,246.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
0.0,6.0,4.0,3.0,399.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,8.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
0.0,5.0,4.0,6.0,187.0,1.0,4.0,2.0,2.0,2.0,3.0,0.0,29.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0
3.0,21.0,1.0,1.0,834.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0
1.0,15.0,2.0,9.0,522.0,1.0,4.0,3.0,0.0,0.0,1.0,2.0,42.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3.0,2.0,0.0,0.0,153.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
1.0,21.0,2.0,0.0,408.0,0.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
3.0,8.0,4.0,7.0,515.0,0.0,4.0,1.0,1.0,0.0,3.0,3.0,38.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,10.0,2.0,0.0,867.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,26.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0
3.0,29.0,4.0,0.0,881.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,25.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
0.0,2.0,4.0,3.0,600.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,25.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
3.0,31.0,4.0,0.0,908.0,4.0,4.0,1.0,2.0,0.0,3.0,3.0,44.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0
0.0,13.0,4.0,6.0,146.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,36.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
0.0,17.0,2.0,1.0,545.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,44.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0
3.0,6.0,2.0,0.0,196.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,11.0,1.0,0.0,810.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,15.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0
0.0,2.0,2.0,0.0,222.0,4.0,0.0,3.0,1.0,0.0,2.0,1.0,52.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
0.0,17.0,1.0,1.0,640.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
3.0,29.0,2.0,9.0,668.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,19.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
1.0,23.0,3.0,0.0,853.0,1.0,4.0,1.0,2.0,0.0,3.0,2.0,23.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0
