Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class,cluster,distance
0.0,2.0,4.0,4.0,142.0,4.0,4.0,3.0,2.0,0.0,3.0,0.0,48.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,296.4218578756321
1.0,29.0,2.0,4.0,770.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0,334.2077246021035
3.0,8.0,4.0,7.0,390.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,30.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,49.074806324595855
0.0,26.0,2.0,3.0,848.0,0.0,3.0,1.0,2.0,2.0,3.0,1.0,26.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0,411.921920277171
0.0,17.0,3.0,0.0,734.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,34.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0,298.20297560492696
3.0,23.0,2.0,7.0,869.0,4.0,2.0,1.0,2.0,0.0,3.0,3.0,16.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0,432.7332686316808
3.0,17.0,2.0,3.0,533.0,2.0,4.0,2.0,2.0,0.0,3.0,1.0,34.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,98.38714123239411
1.0,23.0,2.0,1.0,813.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,16.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0,376.726572918441
3.0,8.0,2.0,4.0,562.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,42.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,128.46405630951836
1.0,21.0,4.0,0.0,747.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,9.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0,310.79831852814164
1.0,8.0,2.0,0.0,190.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,246.70896328165105
0.0,29.0,2.0,9.0,700.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,264.3468119693362
1.0,8.0,2.0,4.0,287.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0,150.09840886056386
0.0,17.0,4.0,0.0,149.0,0.0,4.0,3.0,2.0,0.0,3.0,2.0,41.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,288.5733264914147
0.0,11.0,2.0,0.0,232.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,204.5884667706956
0.0,17.0,2.0,4.0,183.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,13.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,253.46528926446015
3.0,17.0,4.0,4.0,464.0,4.0,4.0,3.0,2.0,0.0,3.0,1.0,34.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,33.50520848476609
3.0,17.0,2.0,4.0,608.0,2.0,4.0,2.0,2.0,0.0,1.0,2.0,12.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0,171.69517772343505
3.0,5.0,4.0,0.0,401.0,0.0,2.0,3.0,2.0,0.0,3.0,2.0,29.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0,39.0098588586636
0.0,2.0,2.0,4.0,498.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,25.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,63.3971650502394
0.0,6.0,4.0,0.0,422.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,29.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,21.58637389196076
1.0,8.0,4.0,1.0,322.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,25.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,114.95914311062307
3.0,6.0,4.0,3.0,387.0,4.0,2.0,1.0,3.0,0.0,0.0,2.0,7.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0,50.95645803738461
0.0,2.0,2.0,3.0,222.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,214.75670741983944
3.0,2.0,0.0,4.0,10.0,0.0,4.0,3.0,3.0,0.0,3.0,2.0,20.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,426.6070654423419
2.0,8.0,1.0,4.0,9.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,23.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,427.51774899443086
