Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class
1.0,17.0,2.0,1.0,903.0,0.0,4.0,3.0,1.0,0.0,1.0,3.0,25.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0
1.0,29.0,0.0,9.0,912.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,6.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
1.0,23.0,2.0,7.0,904.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0,28.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0
1.0,30.0,0.0,9.0,919.0,0.0,1.0,2.0,2.0,0.0,3.0,3.0,39.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
1.0,17.0,4.0,2.0,898.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,20.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0
0.0,21.0,4.0,1.0,887.0,0.0,4.0,2.0,2.0,0.0,3.0,3.0,19.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0
1.0,29.0,2.0,4.0,890.0,3.0,3.0,0.0,2.0,1.0,1.0,3.0,8.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
1.0,2.0,2.0,0.0,913.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,29.0,1.0,0.0,900.0,4.0,0.0,3.0,2.0,1.0,3.0,3.0,17.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0
0.0,21.0,2.0,6.0,899.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,28.0,2.0,0.0,888.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
3.0,29.0,4.0,1.0,895.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,31.0,1.0,2.0,914.0,1.0,4.0,2.0,1.0,0.0,3.0,3.0,41.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0
1.0,23.0,2.0,0.0,911.0,0.0,4.0,3.0,2.0,0.0,1.0,3.0,38.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0
1.0,13.0,2.0,1.0,907.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,19.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0
1.0,24.0,3.0,7.0,896.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,13.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1.0,17.0,2.0,2.0,893.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,10.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0
3.0,23.0,4.0,1.0,892.0,4.0,2.0,3.0,2.0,0.0,1.0,2.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
1.0,23.0,2.0,0.0,902.0,4.0,2.0,0.0,2.0,0.0,3.0,3.0,18.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
1.0,29.0,0.0,9.0,901.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,29.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
3.0,31.0,3.0,4.0,916.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
1.0,31.0,2.0,0.0,909.0,0.0,3.0,3.0,2.0,0.0,1.0,3.0,8.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0
1.0,17.0,2.0,1.0,894.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
0.0,24.0,4.0,3.0,910.0,4.0,3.0,3.0,2.0,0.0,3.0,1.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0
3.0,15.0,4.0,0.0,905.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,11.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0
0.0,23.0,2.0,2.0,918.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,24.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,27.0,0.0,9.0,897.0,0.0,4.0,1.0,2.0,0.0,3.0,2.0,10.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
3.0,23.0,3.0,0.0,889.0,0.0,4.0,1.0,2.0,0.0,1.0,2.0,26.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
1.0,29.0,2.0,9.0,917.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0
0.0,2.0,2.0,0.0,915.0,0.0,4.0,0.0,2.0,0.0,3.0,3.0,49.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0
3.0,29.0,3.0,4.0,906.0,2.0,3.0,3.0,2.0,0.0,0.0,2.0,18.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
3.0,23.0,2.0,3.0,891.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,7.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0
