sepal length,sepal width,petal length,petal width,target,cluster,distance
5.1,3.5,1.4,0.2,0.0,0,0.1439144445027924
4.9,3.0,1.4,0.2,0.0,0,0.4372609509648701
4.7,3.2,1.3,0.2,0.0,0,0.42168002879483624
4.6,3.1,1.5,0.2,0.0,0,0.5246205325935971
5.0,3.6,1.4,0.2,0.0,0,0.20443518916282538
5.4,3.9,1.7,0.4,0.0,0,0.6792657660546618
4.6,3.4,1.4,0.3,0.0,0,0.4296912788718971
5.0,3.4,1.5,0.2,0.0,0,0.05075601298022157
4.4,2.9,1.4,0.2,0.0,0,0.807658814847686
4.9,3.1,1.5,0.1,0.0,0,0.3623811484918291
5.4,3.7,1.5,0.2,0.0,0,0.4795056229998852
4.8,3.4,1.6,0.2,0.0,0,0.25597530662593676
4.8,3.0,1.4,0.1,0.0,0,0.49202560935871037
4.3,3.0,1.1,0.1,0.0,0,0.9186642376523032
5.8,4.0,1.2,0.2,0.0,0,1.0152002556498616
5.7,4.4,1.5,0.4,0.0,0,1.210834769954788
5.4,3.9,1.3,0.4,0.0,0,0.6627296408526859
5.1,3.5,1.4,0.3,0.0,0,0.1533589683588789
5.7,3.8,1.7,0.3,0.0,0,0.8186040936444561
5.1,3.8,1.5,0.3,0.0,0,0.40151582943997643
5.4,3.4,1.7,0.2,0.0,0,0.44595202368142395
5.1,3.7,1.5,0.4,0.0,0,0.34152577467094913
4.6,3.6,1.0,0.2,0.0,0,0.6590910483093998
5.1,3.3,1.7,0.5,0.0,0,0.37551606247317926
4.8,3.4,1.9,0.2,0.0,0,0.4818370166913959
5.0,3.0,1.6,0.2,0.0,0,0.4342731564437191
5.0,3.4,1.6,0.4,0.0,0,0.20913927309337943
5.2,3.5,1.5,0.2,0.0,0,0.206299664294835
5.2,3.4,1.4,0.2,0.0,0,0.19907030945134602
4.7,3.2,1.6,0.2,0.0,0,0.40553372207035526
4.8,3.1,1.6,0.2,0.0,0,0.4041970070457519
5.4,3.4,1.5,0.4,0.0,0,0.4164045113469759
5.2,4.1,1.5,0.1,0.0,0,0.7239117486569799
5.5,4.2,1.4,0.2,0.0,0,0.9260624635707564
4.9,3.1,1.5,0.1,0.0,0,0.3623811484918291
5.0,3.2,1.2,0.2,0.0,0,0.348090785672589
5.5,3.5,1.3,0.2,0.0,0,0.5199661997251683
4.9,3.1,1.5,0.1,0.0,0,0.3623811484918291
4.4,3.0,1.3,0.2,0.0,0,0.7642955073462929
5.1,3.4,1.5,0.2,0.0,0,0.0942152110223635
5.0,3.5,1.3,0.3,0.0,0,0.20413424265537972
4.4,3.2,1.3,0.2,0.0,0,0.6774312122137517
5.0,3.5,1.6,0.6,0.0,0,0.3959004415190322
5.1,3.8,1.9,0.4,0.0,0,0.6051561543928318
4.8,3.0,1.4,0.3,0.0,0,0.4771838345375028
5.1,3.8,1.6,0.2,0.0,0,0.4170793767001602
4.6,3.2,1.4,0.2,0.0,0,0.47650977384241366
5.3,3.7,1.5,0.2,0.0,0,0.4045062537886992
5.0,3.3,1.4,0.2,0.0,0,0.14016279631393444
7.0,3.2,4.7,1.4,1.0,1,1.2382797452845549
6.4,3.2,4.5,1.5,1.0,1,0.6935716684580168
6.9,3.1,4.9,1.5,1.0,1,1.221136828006827
5.5,2.3,4.0,1.3,1.0,1,0.7028879609250422
6.5,2.8,4.6,1.5,1.0,1,0.6956076537782164
5.7,2.8,4.5,1.3,1.0,1,0.3110801586882462
6.3,3.3,4.7,1.6,1.0,1,0.8118029473511867
4.9,2.4,3.3,1.0,1.0,1,1.4951092617164847
6.6,2.9,4.6,1.3,1.0,1,0.7693395871919998
5.2,2.7,3.9,1.4,1.0,1,0.8127986301884418
5.0,2.0,3.5,1.0,1.0,1,1.474298389713288
5.9,3.0,4.2,1.5,1.0,1,0.2758041755168238
6.0,2.2,4.0,1.0,1.0,1,0.7402591062459201
6.1,2.9,4.7,1.4,1.0,1,0.4831727849501332
5.6,2.9,3.6,1.3,1.0,1,0.7488131243453671
6.7,3.1,4.4,1.4,1.0,1,0.8566890133294542
5.6,3.0,4.5,1.5,1.0,1,0.46794592002212204
5.8,2.7,4.1,1.0,1.0,1,0.3977914048902952
6.2,2.2,4.5,1.5,1.0,1,0.7244590196621205
5.6,2.5,3.9,1.1,1.0,1,0.6138087322282285
5.9,3.2,4.8,1.8,1.0,1,0.8143492471095062
6.1,2.8,4.0,1.3,1.0,1,0.332948327250352
6.3,2.5,4.9,1.5,1.0,1,0.8150460595912404
6.1,2.8,4.7,1.2,1.0,1,0.48330616574304075
6.4,2.9,4.3,1.3,1.0,1,0.5002751749201599
6.6,3.0,4.4,1.4,1.0,1,0.7321909268190676
6.8,2.8,4.8,1.4,1.0,1,1.035829836856066
6.7,3.0,5.0,1.7,1.0,1,1.1536017108313121
6.0,2.9,4.5,1.5,1.0,1,0.31601199465945623
5.7,2.6,3.5,1.0,1.0,1,0.8877901537862795
5.5,2.4,3.8,1.1,1.0,1,0.7768995808872687
5.5,2.4,3.7,1.0,1.0,1,0.8736691079239194
5.8,2.7,3.9,1.2,1.0,1,0.4210531369729161
6.0,2.7,5.1,1.6,1.0,1,0.8814041820702672
5.4,3.0,4.5,1.5,1.0,1,0.619267551617828
6.0,3.4,4.5,1.6,1.0,1,0.7036497658259495
6.7,3.1,4.7,1.5,1.0,1,0.9617394094393747
6.3,2.3,4.4,1.3,1.0,1,0.6461258196838596
5.6,3.0,4.1,1.3,1.0,1,0.40947711695980116
