sepal length,sepal width,petal length,petal width,target,cluster,distance
5.1,3.5,1.4,0.2,0.0,0,0.1439144445027924
4.9,3.0,1.4,0.2,0.0,0,0.43726095096487
4.7,3.2,1.3,0.2,0.0,0,0.4216800287948362
4.6,3.1,1.5,0.2,0.0,0,0.5246205325935971
5.0,3.6,1.4,0.2,0.0,0,0.2044351891628253
5.4,3.9,1.7,0.4,0.0,0,0.6792657660546617
4.6,3.4,1.4,0.3,0.0,0,0.4296912788718971
5.0,3.4,1.5,0.2,0.0,0,0.0507560129802215
4.4,2.9,1.4,0.2,0.0,0,0.807658814847686
4.9,3.1,1.5,0.1,0.0,0,0.3623811484918291
5.4,3.7,1.5,0.2,0.0,0,0.4795056229998851
4.8,3.4,1.6,0.2,0.0,0,0.2559753066259368
4.8,3.0,1.4,0.1,0.0,0,0.4920256093587103
4.3,3.0,1.1,0.1,0.0,0,0.9186642376523032
5.4,3.9,1.3,0.4,0.0,0,0.6627296408526859
5.1,3.5,1.4,0.3,0.0,0,0.1533589683588789
5.7,3.8,1.7,0.3,0.0,0,0.8186040936444561
5.1,3.8,1.5,0.3,0.0,0,0.4015158294399765
5.4,3.4,1.7,0.2,0.0,0,0.4459520236814239
5.1,3.7,1.5,0.4,0.0,0,0.3415257746709491
4.6,3.6,1.0,0.2,0.0,0,0.6590910483093999
5.1,3.3,1.7,0.5,0.0,0,0.3755160624731792
4.8,3.4,1.9,0.2,0.0,0,0.4818370166913959
5.0,3.0,1.6,0.2,0.0,0,0.434273156443719
5.0,3.4,1.6,0.4,0.0,0,0.2091392730933794
5.2,3.5,1.5,0.2,0.0,0,0.206299664294835
5.2,3.4,1.4,0.2,0.0,0,0.199070309451346
4.7,3.2,1.6,0.2,0.0,0,0.4055337220703552
4.8,3.1,1.6,0.2,0.0,0,0.4041970070457518
5.4,3.4,1.5,0.4,0.0,0,0.4164045113469759
5.2,4.1,1.5,0.1,0.0,0,0.7239117486569798
5.5,4.2,1.4,0.2,0.0,0,0.9260624635707564
4.9,3.1,1.5,0.1,0.0,0,0.3623811484918291
5.0,3.2,1.2,0.2,0.0,0,0.348090785672589
5.5,3.5,1.3,0.2,0.0,0,0.5199661997251684
4.9,3.1,1.5,0.1,0.0,0,0.3623811484918291
4.4,3.0,1.3,0.2,0.0,0,0.764295507346293
5.1,3.4,1.5,0.2,0.0,0,0.0942152110223635
5.0,3.5,1.3,0.3,0.0,0,0.2041342426553797
4.4,3.2,1.3,0.2,0.0,0,0.6774312122137518
5.0,3.5,1.6,0.6,0.0,0,0.3959004415190322
5.1,3.8,1.9,0.4,0.0,0,0.6051561543928318
4.8,3.0,1.4,0.3,0.0,0,0.4771838345375028
5.1,3.8,1.6,0.2,0.0,0,0.4170793767001601
4.6,3.2,1.4,0.2,0.0,0,0.4765097738424137
5.3,3.7,1.5,0.2,0.0,0,0.4045062537886992
5.0,3.3,1.4,0.2,0.0,0,0.1401627963139344
6.4,3.2,4.5,1.5,1.0,1,0.6935716684580168
5.5,2.3,4.0,1.3,1.0,1,0.7028879609250422
6.5,2.8,4.6,1.5,1.0,1,0.6956076537782164
5.7,2.8,4.5,1.3,1.0,1,0.3110801586882462
