,sepal length,sepal width,petal length,petal width,target
0,5.1,3.5,1.4,0.2,0.0
1,4.9,3.0,1.4,0.2,0.0
2,4.7,3.2,1.3,0.2,0.0
3,4.6,3.1,1.5,0.2,0.0
4,5.0,3.6,1.4,0.2,0.0
5,5.4,3.9,1.7,0.4,0.0
6,4.6,3.4,1.4,0.3,0.0
7,5.0,3.4,1.5,0.2,0.0
8,4.4,2.9,1.4,0.2,0.0
9,4.9,3.1,1.5,0.1,0.0
10,5.4,3.7,1.5,0.2,0.0
11,4.8,3.4,1.6,0.2,0.0
12,4.8,3.0,1.4,0.1,0.0
13,4.3,3.0,1.1,0.1,0.0
14,5.4,3.9,1.3,0.4,0.0
15,5.1,3.5,1.4,0.3,0.0
16,5.7,3.8,1.7,0.3,0.0
17,5.1,3.8,1.5,0.3,0.0
18,5.4,3.4,1.7,0.2,0.0
19,5.1,3.7,1.5,0.4,0.0
20,4.6,3.6,1.0,0.2,0.0
21,5.1,3.3,1.7,0.5,0.0
22,4.8,3.4,1.9,0.2,0.0
23,5.0,3.0,1.6,0.2,0.0
24,5.0,3.4,1.6,0.4,0.0
25,5.2,3.5,1.5,0.2,0.0
26,5.2,3.4,1.4,0.2,0.0
27,4.7,3.2,1.6,0.2,0.0
28,4.8,3.1,1.6,0.2,0.0
29,5.4,3.4,1.5,0.4,0.0
30,5.2,4.1,1.5,0.1,0.0
31,5.5,4.2,1.4,0.2,0.0
32,4.9,3.1,1.5,0.1,0.0
33,5.0,3.2,1.2,0.2,0.0
34,5.5,3.5,1.3,0.2,0.0
35,4.9,3.1,1.5,0.1,0.0
36,4.4,3.0,1.3,0.2,0.0
37,5.1,3.4,1.5,0.2,0.0
38,5.0,3.5,1.3,0.3,0.0
39,4.4,3.2,1.3,0.2,0.0
40,5.0,3.5,1.6,0.6,0.0
41,5.1,3.8,1.9,0.4,0.0
42,4.8,3.0,1.4,0.3,0.0
43,5.1,3.8,1.6,0.2,0.0
44,4.6,3.2,1.4,0.2,0.0
45,5.3,3.7,1.5,0.2,0.0
46,5.0,3.3,1.4,0.2,0.0
47,6.4,3.2,4.5,1.5,1.0
48,5.5,2.3,4.0,1.3,1.0
49,6.5,2.8,4.6,1.5,1.0
50,5.7,2.8,4.5,1.3,1.0
51,6.3,3.3,4.7,1.6,1.0
52,6.6,2.9,4.6,1.3,1.0
53,5.2,2.7,3.9,1.4,1.0
54,5.9,3.0,4.2,1.5,1.0
55,6.0,2.2,4.0,1.0,1.0
56,6.1,2.9,4.7,1.4,1.0
57,5.6,2.9,3.6,1.3,1.0
58,6.7,3.1,4.4,1.4,1.0
59,5.6,3.0,4.5,1.5,1.0
60,5.8,2.7,4.1,1.0,1.0
61,6.2,2.2,4.5,1.5,1.0
62,5.6,2.5,3.9,1.1,1.0
63,5.9,3.2,4.8,1.8,1.0
64,6.1,2.8,4.0,1.3,1.0
65,6.3,2.5,4.9,1.5,1.0
66,6.1,2.8,4.7,1.2,1.0
67,6.4,2.9,4.3,1.3,1.0
68,6.6,3.0,4.4,1.4,1.0
69,6.8,2.8,4.8,1.4,1.0
70,6.7,3.0,5.0,1.7,1.0
71,6.0,2.9,4.5,1.5,1.0
72,5.7,2.6,3.5,1.0,1.0
73,5.5,2.4,3.8,1.1,1.0
74,5.5,2.4,3.7,1.0,1.0
75,5.8,2.7,3.9,1.2,1.0
76,6.0,2.7,5.1,1.6,1.0
77,5.4,3.0,4.5,1.5,1.0
78,6.0,3.4,4.5,1.6,1.0
79,6.7,3.1,4.7,1.5,1.0
80,6.3,2.3,4.4,1.3,1.0
81,5.6,3.0,4.1,1.3,1.0
82,5.5,2.5,4.0,1.3,1.0
83,5.5,2.6,4.4,1.2,1.0
84,6.1,3.0,4.6,1.4,1.0
85,5.8,2.6,4.0,1.2,1.0
86,5.6,2.7,4.2,1.3,1.0
87,5.7,3.0,4.2,1.2,1.0
88,5.7,2.9,4.2,1.3,1.0
89,6.2,2.9,4.3,1.3,1.0
90,5.7,2.8,4.1,1.3,1.0
91,6.3,3.3,6.0,2.5,2.0
92,5.8,2.7,5.1,1.9,2.0
93,7.1,3.0,5.9,2.1,2.0
94,6.3,2.9,5.6,1.8,2.0
95,6.5,3.0,5.8,2.2,2.0
96,7.6,3.0,6.6,2.1,2.0
97,7.3,2.9,6.3,1.8,2.0
98,6.7,2.5,5.8,1.8,2.0
99,7.2,3.6,6.1,2.5,2.0
100,6.5,3.2,5.1,2.0,2.0
101,6.4,2.7,5.3,1.9,2.0
102,6.8,3.0,5.5,2.1,2.0
103,5.7,2.5,5.0,2.0,2.0
104,5.8,2.8,5.1,2.4,2.0
105,6.4,3.2,5.3,2.3,2.0
106,6.5,3.0,5.5,1.8,2.0
107,6.0,2.2,5.0,1.5,2.0
108,6.9,3.2,5.7,2.3,2.0
109,5.6,2.8,4.9,2.0,2.0
110,6.3,2.7,4.9,1.8,2.0
111,6.7,3.3,5.7,2.1,2.0
112,7.2,3.2,6.0,1.8,2.0
113,6.2,2.8,4.8,1.8,2.0
114,6.1,3.0,4.9,1.8,2.0
115,6.4,2.8,5.6,2.1,2.0
116,7.2,3.0,5.8,1.6,2.0
117,7.4,2.8,6.1,1.9,2.0
118,6.4,2.8,5.6,2.2,2.0
119,6.3,2.8,5.1,1.5,2.0
120,6.1,2.6,5.6,1.4,2.0
121,7.7,3.0,6.1,2.3,2.0
122,6.3,3.4,5.6,2.4,2.0
123,6.4,3.1,5.5,1.8,2.0
124,6.0,3.0,4.8,1.8,2.0
125,6.9,3.1,5.4,2.1,2.0
126,6.7,3.1,5.6,2.4,2.0
127,6.9,3.1,5.1,2.3,2.0
128,5.8,2.7,5.1,1.9,2.0
129,6.8,3.2,5.9,2.3,2.0
130,6.7,3.3,5.7,2.5,2.0
131,6.7,3.0,5.2,2.3,2.0
132,6.3,2.5,5.0,1.9,2.0
133,6.5,3.0,5.2,2.0,2.0
134,6.2,3.4,5.4,2.3,2.0
135,5.9,3.0,5.1,1.8,2.0
