Gender,Age,City,Salary,cluster
2.0,53,8.0,30561,0
1.0,44,8.0,61456,0
1.0,56,8.0,56645,0
2.0,56,5.0,52867,0
0.0,57,8.0,52086,0
1.0,32,6.0,37054,0
1.0,51,3.0,56416,0
1.0,42,4.0,50874,0
2.0,46,9.0,48506,0
1.0,46,2.0,48156,0
2.0,37,6.0,62183,0
2.0,55,5.0,34879,0
2.0,45,0.0,52896,0
1.0,37,6.0,51289,0
2.0,54,2.0,50308,0
0.0,57,1.0,47250,0
1.0,21,2.0,24135,0
1.0,57,0.0,56712,0
1.0,65,6.0,41614,0
1.0,24,2.0,24379,0
1.0,31,9.0,43024,0
2.0,58,5.0,43005,0
2.0,31,6.0,31294,0
1.0,34,6.0,36112,0
2.0,60,0.0,43304,0
1.0,23,4.0,27520,0
2.0,28,1.0,39256,0
2.0,33,1.0,33984,0
2.0,29,4.0,41423,0
2.0,53,8.0,37400,0
0.0,22,2.0,24914,0
1.0,28,5.0,41207,0
0.0,18,8.0,21320,0
2.0,44,0.0,66421,0
0.0,46,3.0,66295,0
1.0,62,6.0,54890,0
1.0,56,9.0,31038,0
2.0,48,1.0,48063,0
0.0,36,7.0,58280,0
0.0,20,1.0,26213,0
0.0,32,7.0,36179,0
1.0,36,0.0,63110,0
1.0,63,7.0,45597,0
0.0,36,8.0,46838,0
1.0,62,0.0,50864,0
1.0,47,6.0,45309,0
0.0,22,1.0,22807,0
1.0,61,8.0,32709,0
0.0,32,4.0,38189,0
0.0,34,7.0,43849,0
2.0,58,2.0,44218,0
0.0,55,6.0,51132,0
1.0,60,9.0,55702,0
2.0,30,3.0,35427,0
0.0,45,4.0,63541,0
2.0,25,3.0,44056,0
1.0,52,4.0,33124,0
0.0,32,1.0,44660,0
1.0,59,9.0,47306,0
2.0,27,2.0,30697,0
0.0,35,4.0,52528,0
2.0,27,7.0,33463,0
2.0,22,9.0,29286,0
0.0,21,2.0,27790,0
2.0,28,3.0,34441,0
1.0,37,9.0,46525,0
2.0,56,7.0,32436,0
1.0,65,9.0,52427,0
1.0,54,8.0,39187,0
2.0,36,8.0,62794,0
1.0,46,3.0,63465,0
0.0,25,0.0,40782,0
1.0,47,6.0,46078,0
1.0,62,8.0,35877,0
1.0,37,6.0,55305,0
0.0,62,6.0,30513,0
0.0,43,5.0,51788,0
0.0,35,3.0,64235,0
2.0,50,7.0,34724,0
0.0,52,3.0,54649,0
1.0,49,0.0,68354,0
0.0,46,2.0,58051,0
0.0,23,8.0,21260,0
1.0,56,1.0,39806,0
2.0,20,5.0,22661,0
0.0,45,1.0,63479,0
2.0,65,4.0,37879,0
2.0,38,7.0,63569,0
2.0,56,0.0,57349,0
1.0,34,2.0,43917,0
2.0,19,0.0,26375,0
2.0,23,7.0,28856,0
1.0,32,3.0,35435,0
2.0,61,2.0,42577,0
2.0,54,4.0,54759,0
1.0,55,5.0,54239,0
1.0,19,6.0,22292,0
0.0,61,7.0,55903,0
0.0,35,7.0,67587,0
0.0,54,6.0,53729,0
2.0,20,5.0,21284,0
2.0,29,1.0,38204,0
2.0,48,3.0,69427,0
1.0,51,1.0,41333,0
2.0,59,5.0,31759,0
0.0,46,2.0,48200,0
1.0,35,8.0,59322,0
1.0,29,0.0,33803,0
1.0,55,4.0,57481,0
0.0,45,3.0,47490,0
0.0,58,5.0,41160,0
0.0,49,9.0,64830,0
1.0,23,2.0,29758,0
1.0,48,5.0,57999,0
2.0,40,4.0,55694,0
2.0,44,8.0,45970,0
0.0,39,7.0,65778,0
1.0,38,1.0,53956,0
2.0,60,9.0,55675,0
0.0,24,7.0,27381,0
0.0,28,1.0,38038,0
2.0,39,1.0,52475,0
0.0,44,1.0,56659,0
1.0,62,1.0,48121,0
0.0,49,1.0,57301,0
1.0,36,3.0,59150,0
1.0,60,4.0,36086,0
2.0,43,6.0,67272,0
2.0,53,3.0,49197,0
2.0,20,4.0,26227,0
0.0,47,9.0,47808,0
2.0,23,0.0,24839,0
2.0,38,3.0,53075,0
0.0,34,9.0,41683,0
2.0,38,7.0,47408,0
0.0,25,9.0,31344,0
0.0,43,2.0,53780,0
1.0,50,7.0,35053,0
1.0,18,5.0,26225,0
2.0,60,9.0,53320,0
0.0,52,8.0,55686,0
1.0,47,3.0,65771,0
1.0,44,9.0,50055,0
1.0,21,1.0,26383,0
1.0,30,9.0,35188,0
2.0,51,8.0,41819,0
1.0,41,6.0,48491,0
2.0,57,6.0,32998,0
0.0,49,8.0,45170,0
2.0,58,8.0,40101,0
1.0,46,7.0,59573,0
0.0,21,6.0,25896,0
0.0,31,3.0,42473,0
2.0,35,0.0,53839,0
0.0,53,2.0,33349,0
2.0,26,3.0,32170,0
0.0,36,2.0,47860,0
2.0,46,3.0,51140,0
1.0,62,9.0,44122,0
2.0,49,0.0,59707,0
2.0,25,1.0,39125,0
1.0,19,4.0,29088,0
2.0,58,1.0,46791,0
2.0,56,6.0,43370,0
0.0,33,0.0,31692,0
2.0,63,3.0,30860,0
0.0,28,2.0,31468,0
1.0,37,0.0,56597,0
0.0,53,9.0,48160,0
0.0,18,3.0,21524,0
1.0,53,9.0,49560,0
0.0,44,0.0,64596,0
1.0,23,7.0,25315,0
2.0,32,9.0,44151,0
2.0,25,4.0,36311,0
0.0,47,4.0,45404,0
2.0,25,6.0,34781,0
1.0,59,4.0,43559,0
2.0,27,9.0,36353,0
1.0,49,8.0,47775,0
2.0,63,6.0,53751,0
0.0,36,6.0,63334,0
2.0,50,9.0,59661,0
2.0,63,1.0,37954,0
2.0,35,0.0,63741,0
1.0,44,7.0,62075,0
1.0,48,4.0,50556,0
0.0,48,7.0,67456,0
1.0,33,4.0,36237,0
2.0,47,5.0,50554,0
2.0,53,8.0,34549,0
1.0,27,1.0,34405,0
2.0,42,0.0,54867,0
0.0,30,9.0,34397,0
0.0,56,7.0,46158,0
1.0,50,7.0,34781,0
1.0,65,9.0,32073,0
0.0,26,0.0,32739,0
0.0,22,0.0,27121,0
1.0,35,6.0,54042,0
