col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,Age,Salary
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,56416.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,56712.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,63110.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,50864.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,46.0,63465.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,68354.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,35435.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,33803.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,59150.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,65771.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,56597.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,49457.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,55623.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,39703.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,64458.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,42816.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,67624.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,51778.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,60824.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,60602.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,20732.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,39702.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,35340.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,42734.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,35653.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,22194.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,43704.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,62.0,36130.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,44985.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,53310.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,58573.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,57093.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,40724.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,53951.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,26516.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,51263.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,23836.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,45035.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,69519.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,41960.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,41815.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,46216.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41.0,55370.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,29312.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,65.0,49246.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,20652.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,40298.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,24247.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,42284.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,31506.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,55180.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,40724.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,42117.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,54001.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,43041.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,49933.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,61.0,177679.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,158255.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,37291.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,140071.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,96813.0
