Gender,Age,City,Salary
1.0,61,5.0,177679
1.0,29,0.0,140071
2.0,24,7.0,176772
2.0,24,2.0,195851
2.0,26,0.0,185642
0.0,25,1.0,177536
1.0,41,8.0,191711
1.0,55,5.0,198852
2.0,19,5.0,124876
1.0,46,6.0,139258
2.0,39,8.0,153136
1.0,21,3.0,161533
2.0,28,2.0,180647
2.0,54,5.0,190134
1.0,20,8.0,153404
2.0,57,9.0,165721
1.0,33,7.0,170863
1.0,59,9.0,136546
1.0,36,4.0,194681
0.0,53,9.0,181346
0.0,21,9.0,169204
1.0,33,9.0,192765
1.0,58,2.0,155257
1.0,52,5.0,199277
2.0,19,8.0,151590
2.0,63,0.0,183171
1.0,50,5.0,159886
2.0,38,3.0,154090
1.0,42,8.0,138699
