Gender,Age,City,Salary
0.0,37,2.0,158255
0.0,43,6.0,96813
1.0,65,5.0,100914
0.0,53,2.0,93759
1.0,18,3.0,98014
1.0,21,2.0,127081
2.0,32,5.0,12987
1.0,26,4.0,79523
0.0,43,8.0,75415
2.0,58,5.0,101876
0.0,59,9.0,77281
1.0,55,3.0,10335
0.0,22,5.0,111171
0.0,22,8.0,120009
2.0,59,2.0,118532
2.0,26,1.0,109277
1.0,23,0.0,102073
1.0,25,6.0,108395
0.0,47,7.0,135695
2.0,43,1.0,128302
0.0,42,9.0,87308
0.0,61,5.0,15263
0.0,45,2.0,93549
0.0,29,8.0,78453
0.0,29,9.0,99602
0.0,35,3.0,108424
1.0,57,1.0,98591
0.0,44,7.0,123068
1.0,23,8.0,123823
0.0,44,9.0,96794
0.0,51,5.0,117290
0.0,42,4.0,79537
2.0,40,0.0,83799
2.0,48,8.0,87961
1.0,54,4.0,112996
2.0,19,5.0,104589
1.0,38,2.0,11000
