eps,mp,k,noise,sil,kept,overall_loss,pos_kept,pos_loss,neg_loss,dbscan_pos_loss,excess,cap_ok,score
2,3,12,0.2431,0.1201,563,0.3257,5,0.9074,0.2855,0.8889,0.5817,False,0.12592
2,5,8,0.2659,0.1201,549,0.3425,5,0.9074,0.3035,0.8889,0.5649,False,0.14595
2,8,5,0.3006,0.1049,524,0.3725,0,1.0,0.3291,1.0,0.6275,False,0.17955
2,10,5,0.303,0.1033,522,0.3749,0,1.0,0.3316,1.0,0.6251,False,0.18202
2,15,3,0.3461,0.0862,490,0.4132,0,1.0,0.3726,1.0,0.5868,False,0.2249
2,20,3,0.3557,0.0811,484,0.4204,0,1.0,0.3803,1.0,0.5796,False,0.23495
2,25,2,0.3952,0.0597,454,0.4563,0,1.0,0.4187,1.0,0.5437,False,0.27758
2,30,2,0.3952,0.0597,454,0.4563,0,1.0,0.4187,1.0,0.5437,False,0.27758
3,3,13,0.1677,0.199,618,0.2599,13,0.7593,0.2254,0.7037,0.4994,False,0.0542
3,5,6,0.2036,0.2378,598,0.2838,8,0.8519,0.2446,0.8333,0.568,False,0.07896
3,8,5,0.2108,0.2452,593,0.2898,8,0.8519,0.251,0.8333,0.562,False,0.08361
3,10,4,0.2216,0.2394,585,0.2994,0,1.0,0.251,1.0,0.7006,False,0.09246
3,15,2,0.2515,0.2292,562,0.3269,0,1.0,0.2804,1.0,0.6731,False,0.11678
3,20,2,0.2563,0.2141,558,0.3317,0,1.0,0.2855,1.0,0.6683,False,0.12283
3,25,2,0.2683,0.2127,549,0.3425,0,1.0,0.2971,1.0,0.6575,False,0.13247
4,3,14,0.1222,0.2676,652,0.2192,16,0.7037,0.1857,0.6296,0.4845,False,0.01623
4,5,6,0.1569,0.2773,631,0.2443,12,0.7778,0.2074,0.7407,0.5335,False,0.04111
4,8,4,0.1725,0.2718,620,0.2575,8,0.8519,0.2164,0.8333,0.5944,False,0.05276
4,10,3,0.1832,0.2663,612,0.2671,0,1.0,0.2164,1.0,0.7329,False,0.06107
5,3,9,0.0719,0.4277,692,0.1713,27,0.5,0.1485,0.4074,0.3287,False,0.01611
5,5,6,0.0934,0.4237,677,0.1892,24,0.5556,0.1639,0.463,0.3663,False,0.0038
5,8,4,0.1102,0.4137,666,0.2024,22,0.5926,0.1754,0.5185,0.3902,False,0.00597
5,10,4,0.1138,0.4092,664,0.2048,22,0.5926,0.178,0.5185,0.3878,False,0.00814
5,15,3,0.1305,0.3968,651,0.2204,21,0.6111,0.1933,0.537,0.3908,False,0.01842
6,3,7,0.0527,0.5011,706,0.1545,31,0.4259,0.1357,0.3148,0.2714,False,0.0236
6,5,6,0.0611,0.4965,701,0.1605,30,0.4444,0.1408,0.3519,0.284,False,0.0196
6,8,4,0.0802,0.4888,688,0.176,29,0.463,0.1562,0.3889,0.2869,False,0.0101
6,10,3,0.0898,0.4806,682,0.1832,28,0.4815,0.1626,0.4259,0.2982,False,0.00529
6,15,2,0.1078,0.4786,669,0.1988,27,0.5,0.178,0.4444,0.3012,False,0.00406
7,3,6,0.0383,0.5142,718,0.1401,37,0.3148,0.128,0.1852,0.1747,False,0.02996
7,5,6,0.0419,0.5115,715,0.1437,34,0.3704,0.128,0.2407,0.2267,False,0.02837
7,8,4,0.0647,0.5012,699,0.1629,33,0.3889,0.1472,0.2778,0.226,False,0.01762
7,10,3,0.0743,0.4932,693,0.1701,32,0.4074,0.1536,0.3148,0.2373,False,0.01305
7,15,3,0.0754,0.4936,692,0.1713,32,0.4074,0.1549,0.3148,0.2361,False,0.01243
7,20,2,0.0982,0.5004,676,0.1904,29,0.463,0.1716,0.3889,0.2725,False,0.0009
8,3,5,0.0228,0.5272,731,0.1246,39,0.2778,0.114,0.1481,0.1532,False,0.03652
8,5,4,0.0299,0.5234,726,0.1305,39,0.2778,0.1204,0.1481,0.1472,False,0.03339
8,8,5,0.0323,0.5298,724,0.1329,38,0.2963,0.1216,0.1667,0.1634,False,0.03181
8,10,2,0.0683,0.515,699,0.1629,33,0.3889,0.1472,0.2963,0.226,False,0.01539
8,15,2,0.0683,0.515,699,0.1629,33,0.3889,0.1472,0.2963,0.226,False,0.01539
8,20,2,0.0695,0.5157,698,0.1641,33,0.3889,0.1485,0.2963,0.2248,False,0.01479
8,25,2,0.0695,0.5157,698,0.1641,33,0.3889,0.1485,0.2963,0.2248,False,0.01479
9,3,3,0.012,0.5413,740,0.1138,46,0.1481,0.1114,0.037,0.0344,True,0.04038
9,5,2,0.0168,0.5377,737,0.1174,46,0.1481,0.1152,0.037,0.0308,True,0.03848
9,8,2,0.0192,0.5381,735,0.1198,44,0.1852,0.1152,0.0741,0.0654,True,0.03734
9,10,2,0.0311,0.5581,726,0.1305,42,0.2222,0.1242,0.1111,0.0917,True,0.03043
10,3,3,0.012,0.5413,740,0.1138,46,0.1481,0.1114,0.037,0.0344,True,0.04038
10,5,2,0.0168,0.5377,737,0.1174,46,0.1481,0.1152,0.037,0.0308,True,0.03848
10,8,2,0.0168,0.5377,737,0.1174,46,0.1481,0.1152,0.037,0.0308,True,0.03848
11,3,3,0.0108,0.5405,741,0.1126,46,0.1481,0.1101,0.037,0.0356,True,0.041
11,5,2,0.0156,0.537,738,0.1162,46,0.1481,0.114,0.037,0.032,True,0.03909
11,8,2,0.0156,0.537,738,0.1162,46,0.1481,0.114,0.037,0.032,True,0.03909
12,3,2,0.0096,0.6597,743,0.1102,46,0.1481,0.1076,0.037,0.038,True,0.03077
