index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
sanity.nearest_syn_neighbor_distance.mean,0.08523507112397481,0.08523507112397481,0.08523507112397481,0.0,0.08523507112397481,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
sanity.close_values_probability.score,0.918562874251497,0.918562874251497,0.918562874251497,0.0,0.918562874251497,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.jensenshannon_dist.marginal,0.00754033487748566,0.00754033487748566,0.00754033487748566,0.0,0.00754033487748566,0.0,1,0,0.01,minimize,cervical,base,decaf,353.7
stats.chi_squared_test.marginal,0.19121006326935172,0.19121006326935172,0.19121006326935172,0.0,0.19121006326935172,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.inv_kl_divergence.marginal,0.7299281425705545,0.7299281425705545,0.7299281425705545,0.0,0.7299281425705545,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.ks_test.marginal,0.8845974717232202,0.8845974717232202,0.8845974717232202,0.0,0.8845974717232202,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.max_mean_discrepancy.joint,0.005065789650736422,0.005065789650736422,0.005065789650736422,0.0,0.005065789650736422,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
stats.wasserstein_dist.joint,0.2753904640763914,0.2753904640763914,0.2753904640763914,0.0,0.2753904640763914,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
stats.prdc.precision,0.8431137724550898,0.8431137724550898,0.8431137724550898,0.0,0.8431137724550898,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.prdc.recall,0.32455089820359284,0.32455089820359284,0.32455089820359284,0.0,0.32455089820359284,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.prdc.density,0.6019161676646707,0.6019161676646707,0.6019161676646707,0.0,0.6019161676646707,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.prdc.coverage,0.3664670658682635,0.3664670658682635,0.3664670658682635,0.0,0.3664670658682635,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.alpha_precision.delta_precision_alpha_OC,0.8101287081010393,0.8101287081010393,0.8101287081010393,0.0,0.8101287081010393,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.alpha_precision.delta_coverage_beta_OC,0.31512974051896214,0.31512974051896214,0.31512974051896214,0.0,0.31512974051896214,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.alpha_precision.authenticity_OC,0.5760479041916168,0.5760479041916168,0.5760479041916168,0.0,0.5760479041916168,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.alpha_precision.delta_precision_alpha_naive,0.8945557161538991,0.8945557161538991,0.8945557161538991,0.0,0.8945557161538991,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.alpha_precision.delta_coverage_beta_naive,0.2356886227544912,0.2356886227544912,0.2356886227544912,0.0,0.2356886227544912,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
stats.alpha_precision.authenticity_naive,0.5592814371257485,0.5592814371257485,0.5592814371257485,0.0,0.5592814371257485,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.delta-presence.score,9.1999999816,9.1999999816,9.1999999816,0.0,9.1999999816,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.k-map.score,3.0,3.0,3.0,0.0,3.0,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.0,maximize,cervical,base,decaf,353.7
privacy.identifiability_score.score,0.14251497005988023,0.14251497005988023,0.14251497005988023,0.0,0.14251497005988023,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
privacy.identifiability_score.score_OC,0.3473053892215569,0.3473053892215569,0.3473053892215569,0.0,0.3473053892215569,0.0,1,0,0.0,minimize,cervical,base,decaf,353.7
