index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
sanity.nearest_syn_neighbor_distance.mean,0.11628737921599216,0.11628737921599216,0.11628737921599216,0.0,0.11628737921599216,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
sanity.close_values_probability.score,0.8838323353293414,0.8838323353293414,0.8838323353293414,0.0,0.8838323353293414,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.jensenshannon_dist.marginal,0.009993750093890051,0.009993750093890051,0.009993750093890051,0.0,0.009993750093890051,0.0,1,0,0.01,minimize,cervical,base,pategan,6.9
stats.chi_squared_test.marginal,0.6752139482848039,0.6752139482848039,0.6752139482848039,0.0,0.6752139482848039,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.inv_kl_divergence.marginal,0.9202873379237828,0.9202873379237828,0.9202873379237828,0.0,0.9202873379237828,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.ks_test.marginal,0.8691616766467065,0.8691616766467065,0.8691616766467065,0.0,0.8691616766467065,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.max_mean_discrepancy.joint,0.009654264857262188,0.009654264857262188,0.009654264857262188,0.0,0.009654264857262188,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
stats.wasserstein_dist.joint,0.438814900275189,0.438814900275189,0.438814900275189,0.0,0.438814900275189,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
stats.prdc.precision,0.9089820359281438,0.9089820359281438,0.9089820359281438,0.0,0.9089820359281438,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.prdc.recall,0.9413173652694611,0.9413173652694611,0.9413173652694611,0.0,0.9413173652694611,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.prdc.density,0.8337724550898203,0.8337724550898203,0.8337724550898203,0.0,0.8337724550898203,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.prdc.coverage,0.2838323353293413,0.2838323353293413,0.2838323353293413,0.0,0.2838323353293413,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.alpha_precision.delta_precision_alpha_OC,0.17157684630738512,0.17157684630738512,0.17157684630738512,0.0,0.17157684630738512,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.alpha_precision.delta_coverage_beta_OC,0.15800399201596815,0.15800399201596815,0.15800399201596815,0.0,0.15800399201596815,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.alpha_precision.authenticity_OC,0.7724550898203593,0.7724550898203593,0.7724550898203593,0.0,0.7724550898203593,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.alpha_precision.delta_precision_alpha_naive,0.7931502512216946,0.7931502512216946,0.7931502512216946,0.0,0.7931502512216946,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.alpha_precision.delta_coverage_beta_naive,0.07840319361277426,0.07840319361277426,0.07840319361277426,0.0,0.07840319361277426,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
stats.alpha_precision.authenticity_naive,0.7880239520958083,0.7880239520958083,0.7880239520958083,0.0,0.7880239520958083,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.delta-presence.score,19.083333317430554,19.083333317430554,19.083333317430554,0.0,19.083333317430554,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.0,maximize,cervical,base,pategan,6.9
privacy.identifiability_score.score,0.08862275449101796,0.08862275449101796,0.08862275449101796,0.0,0.08862275449101796,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
privacy.identifiability_score.score_OC,0.14251497005988023,0.14251497005988023,0.14251497005988023,0.0,0.14251497005988023,0.0,1,0,0.0,minimize,cervical,base,pategan,6.9
