index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
sanity.nearest_syn_neighbor_distance.mean,0.08198641235987696,0.08198641235987696,0.08198641235987696,0.0,0.08198641235987696,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
sanity.close_values_probability.score,0.9221556886227545,0.9221556886227545,0.9221556886227545,0.0,0.9221556886227545,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.jensenshannon_dist.marginal,0.007933508167879952,0.007933508167879952,0.007933508167879952,0.0,0.007933508167879952,0.0,1,0,0.01,minimize,cervical,base,rtvae,37.2
stats.chi_squared_test.marginal,0.3993071973154949,0.3993071973154949,0.3993071973154949,0.0,0.3993071973154949,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.inv_kl_divergence.marginal,0.8532242062084883,0.8532242062084883,0.8532242062084883,0.0,0.8532242062084883,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.ks_test.marginal,0.9037924151696607,0.9037924151696607,0.9037924151696607,0.0,0.9037924151696607,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.max_mean_discrepancy.joint,0.0067444253131116105,0.0067444253131116105,0.0067444253131116105,0.0,0.0067444253131116105,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
stats.wasserstein_dist.joint,0.24174328172960896,0.24174328172960896,0.24174328172960896,0.0,0.24174328172960896,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
stats.prdc.precision,0.8634730538922155,0.8634730538922155,0.8634730538922155,0.0,0.8634730538922155,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.prdc.recall,0.32934131736526945,0.32934131736526945,0.32934131736526945,0.0,0.32934131736526945,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.prdc.density,0.7377245508982037,0.7377245508982037,0.7377245508982037,0.0,0.7377245508982037,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.prdc.coverage,0.4431137724550898,0.4431137724550898,0.4431137724550898,0.0,0.4431137724550898,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.alpha_precision.delta_precision_alpha_OC,0.9454773212196297,0.9454773212196297,0.9454773212196297,0.0,0.9454773212196297,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.alpha_precision.delta_coverage_beta_OC,0.33389221556886217,0.33389221556886217,0.33389221556886217,0.0,0.33389221556886217,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.alpha_precision.authenticity_OC,0.5425149700598803,0.5425149700598803,0.5425149700598803,0.0,0.5425149700598803,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.alpha_precision.delta_precision_alpha_naive,0.7970459081836327,0.7970459081836327,0.7970459081836327,0.0,0.7970459081836327,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.alpha_precision.delta_coverage_beta_naive,0.2729740518962075,0.2729740518962075,0.2729740518962075,0.0,0.2729740518962075,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
stats.alpha_precision.authenticity_naive,0.5748502994011976,0.5748502994011976,0.5748502994011976,0.0,0.5748502994011976,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.delta-presence.score,17.999999820000003,17.999999820000003,17.999999820000003,0.0,17.999999820000003,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.k-anonymization.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.distinct l-diversity.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.0,maximize,cervical,base,rtvae,37.2
privacy.identifiability_score.score,0.16766467065868262,0.16766467065868262,0.16766467065868262,0.0,0.16766467065868262,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
privacy.identifiability_score.score_OC,0.37365269461077844,0.37365269461077844,0.37365269461077844,0.0,0.37365269461077844,0.0,1,0,0.0,minimize,cervical,base,rtvae,37.2
