index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,privgen,decaf,206.1
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,cervical,privgen,decaf,206.1
sanity.nearest_syn_neighbor_distance.mean,0.08011368031910693,0.08011368031910693,0.08011368031910693,0.0,0.08011368031910693,0.0,1,0,0.0,minimize,cervical,privgen,decaf,206.1
sanity.close_values_probability.score,0.925748502994012,0.925748502994012,0.925748502994012,0.0,0.925748502994012,0.0,1,0,0.0,maximize,cervical,privgen,decaf,206.1
stats.jensenshannon_dist.marginal,0.010047964408820489,0.010047964408820489,0.010047964408820489,0.0,0.010047964408820489,0.0,1,0,0.04,minimize,cervical,privgen,decaf,206.1
stats.chi_squared_test.marginal,0.16541670666444383,0.16541670666444383,0.16541670666444383,0.0,0.16541670666444383,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.inv_kl_divergence.marginal,0.7410113459334124,0.7410113459334124,0.7410113459334124,0.0,0.7410113459334124,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.ks_test.marginal,0.9182634730538921,0.9182634730538921,0.9182634730538921,0.0,0.9182634730538921,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.max_mean_discrepancy.joint,0.006941688340946188,0.006941688340946188,0.006941688340946188,0.0,0.006941688340946188,0.0,1,0,0.01,minimize,cervical,privgen,decaf,206.1
stats.wasserstein_dist.joint,0.3207902377714199,0.3207902377714199,0.3207902377714199,0.0,0.3207902377714199,0.0,1,0,0.05,minimize,cervical,privgen,decaf,206.1
stats.prdc.precision,0.9245508982035928,0.9245508982035928,0.9245508982035928,0.0,0.9245508982035928,0.0,1,0,0.02,maximize,cervical,privgen,decaf,206.1
stats.prdc.recall,0.5329341317365269,0.5329341317365269,0.5329341317365269,0.0,0.5329341317365269,0.0,1,0,0.02,maximize,cervical,privgen,decaf,206.1
stats.prdc.density,1.0380838323353294,1.0380838323353294,1.0380838323353294,0.0,1.0380838323353294,0.0,1,0,0.02,maximize,cervical,privgen,decaf,206.1
stats.prdc.coverage,0.4718562874251497,0.4718562874251497,0.4718562874251497,0.0,0.4718562874251497,0.0,1,0,0.02,maximize,cervical,privgen,decaf,206.1
stats.alpha_precision.delta_precision_alpha_OC,0.80750499001996,0.80750499001996,0.80750499001996,0.0,0.80750499001996,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.alpha_precision.delta_coverage_beta_OC,0.2747305389221558,0.2747305389221558,0.2747305389221558,0.0,0.2747305389221558,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.alpha_precision.authenticity_OC,0.578443113772455,0.578443113772455,0.578443113772455,0.0,0.578443113772455,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.alpha_precision.delta_precision_alpha_naive,0.7862481932686352,0.7862481932686352,0.7862481932686352,0.0,0.7862481932686352,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.alpha_precision.delta_coverage_beta_naive,0.2144510978043912,0.2144510978043912,0.2144510978043912,0.0,0.2144510978043912,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
stats.alpha_precision.authenticity_naive,0.5520958083832336,0.5520958083832336,0.5520958083832336,0.0,0.5520958083832336,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
privacy.delta-presence.score,17.999999820000003,17.999999820000003,17.999999820000003,0.0,17.999999820000003,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
privacy.k-anonymization.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,cervical,privgen,decaf,206.1
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.03,maximize,cervical,privgen,decaf,206.1
privacy.distinct l-diversity.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.03,maximize,cervical,privgen,decaf,206.1
privacy.identifiability_score.score,0.16766467065868262,0.16766467065868262,0.16766467065868262,0.0,0.16766467065868262,0.0,1,0,0.01,minimize,cervical,privgen,decaf,206.1
privacy.identifiability_score.score_OC,0.33053892215568864,0.33053892215568864,0.33053892215568864,0.0,0.33053892215568864,0.0,1,0,0.01,minimize,cervical,privgen,decaf,206.1
