index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,german,base,arf,4.8
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,german,base,arf,4.8
sanity.nearest_syn_neighbor_distance.mean,0.006122053065905539,0.006122053065905539,0.006122053065905539,0.0,0.006122053065905539,0.0,1,0,0.01,minimize,german,base,arf,4.8
sanity.close_values_probability.score,0.999,0.999,0.999,0.0,0.999,0.0,1,0,0.01,maximize,german,base,arf,4.8
stats.jensenshannon_dist.marginal,0.0034634086206638067,0.0034634086206638067,0.0034634086206638067,0.0,0.0034634086206638067,0.0,1,0,0.0,minimize,german,base,arf,4.8
stats.chi_squared_test.marginal,0.9492838864113683,0.9492838864113683,0.9492838864113683,0.0,0.9492838864113683,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.inv_kl_divergence.marginal,0.992709856695765,0.992709856695765,0.992709856695765,0.0,0.992709856695765,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.ks_test.marginal,0.9778095238095238,0.9778095238095238,0.9778095238095238,0.0,0.9778095238095238,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.max_mean_discrepancy.joint,0.0019999999987145977,0.0019999999987145977,0.0019999999987145977,0.0,0.0019999999987145977,0.0,1,0,0.0,minimize,german,base,arf,4.8
stats.wasserstein_dist.joint,0.4557762002720931,0.4557762002720931,0.4557762002720931,0.0,0.4557762002720931,0.0,1,0,0.0,minimize,german,base,arf,4.8
stats.prdc.precision,0.989,0.989,0.989,0.0,0.989,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.prdc.recall,0.991,0.991,0.991,0.0,0.991,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.prdc.density,0.9828,0.9828,0.9828,0.0,0.9828,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.prdc.coverage,0.954,0.954,0.954,0.0,0.954,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.alpha_precision.delta_precision_alpha_OC,0.9871471264367816,0.9871471264367816,0.9871471264367816,0.0,0.9871471264367816,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.alpha_precision.delta_coverage_beta_OC,0.48453333333333337,0.48453333333333337,0.48453333333333337,0.0,0.48453333333333337,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.alpha_precision.authenticity_OC,0.511,0.511,0.511,0.0,0.511,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.alpha_precision.delta_precision_alpha_naive,0.9732735632183908,0.9732735632183908,0.9732735632183908,0.0,0.9732735632183908,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.alpha_precision.delta_coverage_beta_naive,0.46173333333333333,0.46173333333333333,0.46173333333333333,0.0,0.46173333333333333,0.0,1,0,0.0,maximize,german,base,arf,4.8
stats.alpha_precision.authenticity_naive,0.537,0.537,0.537,0.0,0.537,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.delta-presence.score,2.4999999875000003,2.4999999875000003,2.4999999875000003,0.0,2.4999999875000003,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.0,maximize,german,base,arf,4.8
privacy.identifiability_score.score,0.471,0.471,0.471,0.0,0.471,0.0,1,0,0.0,minimize,german,base,arf,4.8
privacy.identifiability_score.score_OC,0.48,0.48,0.48,0.0,0.48,0.0,1,0,0.0,minimize,german,base,arf,4.8
