index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,german,base,decaf,295.7
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,german,base,decaf,295.7
sanity.nearest_syn_neighbor_distance.mean,0.07520984803005422,0.07520984803005422,0.07520984803005422,0.0,0.07520984803005422,0.0,1,0,0.01,minimize,german,base,decaf,295.7
sanity.close_values_probability.score,0.952,0.952,0.952,0.0,0.952,0.0,1,0,0.01,maximize,german,base,decaf,295.7
stats.jensenshannon_dist.marginal,0.009811359265699352,0.009811359265699352,0.009811359265699352,0.0,0.009811359265699352,0.0,1,0,0.0,minimize,german,base,decaf,295.7
stats.chi_squared_test.marginal,0.7015636343555953,0.7015636343555953,0.7015636343555953,0.0,0.7015636343555953,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.inv_kl_divergence.marginal,0.8432215203797897,0.8432215203797897,0.8432215203797897,0.0,0.8432215203797897,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.ks_test.marginal,0.9351428571428573,0.9351428571428573,0.9351428571428573,0.0,0.9351428571428573,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.max_mean_discrepancy.joint,0.0020000509103062095,0.0020000509103062095,0.0020000509103062095,0.0,0.0020000509103062095,0.0,1,0,0.0,minimize,german,base,decaf,295.7
stats.wasserstein_dist.joint,0.5544779173113856,0.5544779173113856,0.5544779173113856,0.0,0.5544779173113856,0.0,1,0,0.0,minimize,german,base,decaf,295.7
stats.prdc.precision,0.896,0.896,0.896,0.0,0.896,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.prdc.recall,0.014,0.014,0.014,0.0,0.014,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.prdc.density,0.8228,0.8228,0.8228,0.0,0.8228,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.prdc.coverage,0.043,0.043,0.043,0.0,0.043,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.alpha_precision.delta_precision_alpha_OC,0.9411586206896552,0.9411586206896552,0.9411586206896552,0.0,0.9411586206896552,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.alpha_precision.delta_coverage_beta_OC,0.4423999999999999,0.4423999999999999,0.4423999999999999,0.0,0.4423999999999999,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.alpha_precision.authenticity_OC,0.557,0.557,0.557,0.0,0.557,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.alpha_precision.delta_precision_alpha_naive,0.9521793103448276,0.9521793103448276,0.9521793103448276,0.0,0.9521793103448276,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.alpha_precision.delta_coverage_beta_naive,0.28766666666666674,0.28766666666666674,0.28766666666666674,0.0,0.28766666666666674,0.0,1,0,0.0,maximize,german,base,decaf,295.7
stats.alpha_precision.authenticity_naive,0.624,0.624,0.624,0.0,0.624,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.delta-presence.score,1.1205962059468755,1.1205962059468755,1.1205962059468755,0.0,1.1205962059468755,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.k-anonymization.syn,12.00000001,12.00000001,12.00000001,0.0,12.00000001,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.k-map.score,75.0,75.0,75.0,0.0,75.0,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.distinct l-diversity.syn,12.00000001,12.00000001,12.00000001,0.0,12.00000001,0.0,1,0,0.0,maximize,german,base,decaf,295.7
privacy.identifiability_score.score,0.022,0.022,0.022,0.0,0.022,0.0,1,0,0.0,minimize,german,base,decaf,295.7
privacy.identifiability_score.score_OC,0.408,0.408,0.408,0.0,0.408,0.0,1,0,0.0,minimize,german,base,decaf,295.7
