index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,dataset,arm,synth,secs
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,german,base,dpgan,115.0
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,german,base,dpgan,115.0
sanity.nearest_syn_neighbor_distance.mean,0.15297684023780111,0.15297684023780111,0.15297684023780111,0.0,0.15297684023780111,0.0,1,0,0.01,minimize,german,base,dpgan,115.0
sanity.close_values_probability.score,0.627,0.627,0.627,0.0,0.627,0.0,1,0,0.01,maximize,german,base,dpgan,115.0
stats.jensenshannon_dist.marginal,0.13013342510911177,0.13013342510911177,0.13013342510911177,0.0,0.13013342510911177,0.0,1,0,0.03,minimize,german,base,dpgan,115.0
stats.chi_squared_test.marginal,0.12165985668607661,0.12165985668607661,0.12165985668607661,0.0,0.12165985668607661,0.0,1,0,0.01,maximize,german,base,dpgan,115.0
stats.inv_kl_divergence.marginal,0.38784052138618447,0.38784052138618447,0.38784052138618447,0.0,0.38784052138618447,0.0,1,0,0.01,maximize,german,base,dpgan,115.0
stats.ks_test.marginal,0.2500000000000001,0.2500000000000001,0.2500000000000001,0.0,0.2500000000000001,0.0,1,0,0.01,maximize,german,base,dpgan,115.0
stats.max_mean_discrepancy.joint,0.002002275201422119,0.002002275201422119,0.002002275201422119,0.0,0.002002275201422119,0.0,1,0,0.01,minimize,german,base,dpgan,115.0
stats.wasserstein_dist.joint,3.8787148601439627,3.8787148601439627,3.8787148601439627,0.0,3.8787148601439627,0.0,1,0,0.12,minimize,german,base,dpgan,115.0
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.prdc.recall,0.982,0.982,0.982,0.0,0.982,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.prdc.density,1.0528000000000002,1.0528000000000002,1.0528000000000002,0.0,1.0528000000000002,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.prdc.coverage,0.174,0.174,0.174,0.0,0.174,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.alpha_precision.delta_precision_alpha_OC,0.5579471264367817,0.5579471264367817,0.5579471264367817,0.0,0.5579471264367817,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.alpha_precision.delta_coverage_beta_OC,0.1023333333333335,0.1023333333333335,0.1023333333333335,0.0,0.1023333333333335,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.alpha_precision.authenticity_OC,0.903,0.903,0.903,0.0,0.903,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.alpha_precision.delta_precision_alpha_naive,0.0013333333333332975,0.0013333333333332975,0.0013333333333332975,0.0,0.0013333333333332975,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
privacy.delta-presence.score,293.99999706000006,293.99999706000006,293.99999706000006,0.0,293.99999706000006,0.0,1,0,0.01,maximize,german,base,dpgan,115.0
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.02,maximize,german,base,dpgan,115.0
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,german,base,dpgan,115.0
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.04,maximize,german,base,dpgan,115.0
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.04,maximize,german,base,dpgan,115.0
privacy.identifiability_score.score,0.116,0.116,0.116,0.0,0.116,0.0,1,0,0.03,minimize,german,base,dpgan,115.0
privacy.identifiability_score.score_OC,0.082,0.082,0.082,0.0,0.082,0.0,1,0,0.03,minimize,german,base,dpgan,115.0
