index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.08469199103395972,0.08469199103395972,0.08469199103395972,0.0,0.08469199103395972,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9092741935483871,0.9092741935483871,0.9092741935483871,0.0,0.9092741935483871,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.01001476106800759,0.01001476106800759,0.01001476106800759,0.0,0.01001476106800759,0.0,1,0,0.1,minimize,True
stats.chi_squared_test.marginal,0.02572610905216311,0.02572610905216311,0.02572610905216311,0.0,0.02572610905216311,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.6191307887013981,0.6191307887013981,0.6191307887013981,0.0,0.6191307887013981,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.9289314516129031,0.9289314516129031,0.9289314516129031,0.0,0.9289314516129031,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.007462059404187097,0.007462059404187097,0.007462059404187097,0.0,0.007462059404187097,0.0,1,0,0.02,minimize,True
stats.wasserstein_dist.joint,0.501803088660292,0.501803088660292,0.501803088660292,0.0,0.501803088660292,0.0,1,0,0.03,minimize,True
stats.prdc.precision,0.9717741935483871,0.9717741935483871,0.9717741935483871,0.0,0.9717741935483871,0.0,1,0,0.02,maximize,True
stats.prdc.recall,0.5705645161290323,0.5705645161290323,0.5705645161290323,0.0,0.5705645161290323,0.0,1,0,0.02,maximize,True
stats.prdc.density,1.175,1.175,1.175,0.0,1.175,0.0,1,0,0.02,maximize,True
stats.prdc.coverage,0.6411290322580645,0.6411290322580645,0.6411290322580645,0.0,0.6411290322580645,0.0,1,0,0.02,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.6494623655913979,0.6494623655913979,0.6494623655913979,0.0,0.6494623655913979,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4571236559139785,0.4571236559139785,0.4571236559139785,0.0,0.4571236559139785,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.5383064516129032,0.5383064516129032,0.5383064516129032,0.0,0.5383064516129032,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6118279569892473,0.6118279569892473,0.6118279569892473,0.0,0.6118279569892473,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.2880376344086021,0.2880376344086021,0.2880376344086021,0.0,0.2880376344086021,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.5443548387096774,0.5443548387096774,0.5443548387096774,0.0,0.5443548387096774,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,34.99999965000001,34.99999965000001,34.99999965000001,0.0,34.99999965000001,0.0,1,0,0.17,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.22,maximize,True
privacy.k-anonymization.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.22,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.14,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.46,maximize,True
privacy.distinct l-diversity.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.46,maximize,True
privacy.identifiability_score.score,0.3387096774193548,0.3387096774193548,0.3387096774193548,0.0,0.3387096774193548,0.0,1,0,0.04,minimize,True
privacy.identifiability_score.score_OC,0.3810483870967742,0.3810483870967742,0.3810483870967742,0.0,0.3810483870967742,0.0,1,0,0.04,minimize,True
