index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.08858185757860206,0.08858185757860206,0.08858185757860206,0.0,0.08858185757860206,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.9209580838323354,0.9209580838323354,0.9209580838323354,0.0,0.9209580838323354,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.0036435057797831153,0.0036435057797831153,0.0036435057797831153,0.0,0.0036435057797831153,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.6404893752948352,0.6404893752948352,0.6404893752948352,0.0,0.6404893752948352,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.9747039591432866,0.9747039591432866,0.9747039591432866,0.0,0.9747039591432866,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9548902195608782,0.9548902195608782,0.9548902195608782,0.0,0.9548902195608782,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.002641597003147843,0.002641597003147843,0.002641597003147843,0.0,0.002641597003147843,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,0.1747079978780986,0.1747079978780986,0.1747079978780986,0.0,0.1747079978780986,0.0,1,0,0.01,minimize,False
stats.prdc.precision,0.881437125748503,0.881437125748503,0.881437125748503,0.0,0.881437125748503,0.0,1,0,0.01,maximize,False
stats.prdc.recall,0.9724550898203593,0.9724550898203593,0.9724550898203593,0.0,0.9724550898203593,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.7200000000000001,0.7200000000000001,0.7200000000000001,0.0,0.7200000000000001,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,0.8910179640718563,0.8910179640718563,0.8910179640718563,0.0,0.8910179640718563,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.751377245508982,0.751377245508982,0.751377245508982,0.0,0.751377245508982,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.44351297405189627,0.44351297405189627,0.44351297405189627,0.0,0.44351297405189627,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.5413173652694611,0.5413173652694611,0.5413173652694611,0.0,0.5413173652694611,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9351641544497212,0.9351641544497212,0.9351641544497212,0.0,0.9351641544497212,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.36654690618762475,0.36654690618762475,0.36654690618762475,0.0,0.36654690618762475,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.5149700598802395,0.5149700598802395,0.5149700598802395,0.0,0.5149700598802395,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,3.4999999825000003,3.4999999825000003,3.4999999825000003,0.0,3.4999999825000003,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.35808383233532937,0.35808383233532937,0.35808383233532937,0.0,0.35808383233532937,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.4658682634730539,0.4658682634730539,0.4658682634730539,0.0,0.4658682634730539,0.0,1,0,0.01,minimize,False
