index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.07876246287831296,0.07876246287831296,0.07876246287831296,0.0,0.07876246287831296,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9112903225806451,0.9112903225806451,0.9112903225806451,0.0,0.9112903225806451,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.008793801417824612,0.008793801417824612,0.008793801417824612,0.0,0.008793801417824612,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.054870705998639094,0.054870705998639094,0.054870705998639094,0.0,0.054870705998639094,0.0,1,0,0.01,maximize,True
stats.inv_kl_divergence.marginal,0.6437286387891576,0.6437286387891576,0.6437286387891576,0.0,0.6437286387891576,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9403561827956989,0.9403561827956989,0.9403561827956989,0.0,0.9403561827956989,0.0,1,0,0.01,maximize,True
stats.max_mean_discrepancy.joint,0.003881506657831679,0.003881506657831679,0.003881506657831679,0.0,0.003881506657831679,0.0,1,0,0.01,minimize,True
stats.wasserstein_dist.joint,0.49404624357522614,0.49404624357522614,0.49404624357522614,0.0,0.49404624357522614,0.0,1,0,0.01,minimize,True
stats.prdc.precision,0.9455645161290323,0.9455645161290323,0.9455645161290323,0.0,0.9455645161290323,0.0,1,0,0.01,maximize,True
stats.prdc.recall,0.6854838709677419,0.6854838709677419,0.6854838709677419,0.0,0.6854838709677419,0.0,1,0,0.01,maximize,True
stats.prdc.density,1.1290322580645162,1.1290322580645162,1.1290322580645162,0.0,1.1290322580645162,0.0,1,0,0.01,maximize,True
stats.prdc.coverage,0.7983870967741935,0.7983870967741935,0.7983870967741935,0.0,0.7983870967741935,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.7442204301075268,0.7442204301075268,0.7442204301075268,0.0,0.7442204301075268,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.571236559139785,0.571236559139785,0.571236559139785,0.0,0.571236559139785,0.0,1,0,0.01,maximize,True
stats.alpha_precision.authenticity_OC,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.0,0.4838709677419355,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6251344086021506,0.6251344086021506,0.6251344086021506,0.0,0.6251344086021506,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.4102150537634409,0.4102150537634409,0.4102150537634409,0.0,0.4102150537634409,0.0,1,0,0.01,maximize,True
stats.alpha_precision.authenticity_naive,0.530241935483871,0.530241935483871,0.530241935483871,0.0,0.530241935483871,0.0,1,0,0.01,maximize,True
privacy.delta-presence.score,8.333333305555556,8.333333305555556,8.333333305555556,0.0,8.333333305555556,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.01,maximize,True
privacy.k-map.score,3.0,3.0,3.0,0.0,3.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.01,maximize,True
privacy.identifiability_score.score,0.48185483870967744,0.48185483870967744,0.48185483870967744,0.0,0.48185483870967744,0.0,1,0,0.01,minimize,True
privacy.identifiability_score.score_OC,0.4737903225806452,0.4737903225806452,0.4737903225806452,0.0,0.4737903225806452,0.0,1,0,0.01,minimize,True
