index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.07670253506500148,0.07670253506500148,0.07670253506500148,0.0,0.07670253506500148,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.9401197604790419,0.9401197604790419,0.9401197604790419,0.0,0.9401197604790419,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.004092361016690156,0.004092361016690156,0.004092361016690156,0.0,0.004092361016690156,0.0,1,0,0.1,minimize,False
stats.chi_squared_test.marginal,0.6405855734260354,0.6405855734260354,0.6405855734260354,0.0,0.6405855734260354,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9385545929468267,0.9385545929468267,0.9385545929468267,0.0,0.9385545929468267,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.8768795741849635,0.8768795741849635,0.8768795741849635,0.0,0.8768795741849635,0.0,1,0,0.03,maximize,False
stats.max_mean_discrepancy.joint,0.0032926016735249563,0.0032926016735249563,0.0032926016735249563,0.0,0.0032926016735249563,0.0,1,0,0.03,minimize,False
stats.wasserstein_dist.joint,0.20623006589568,0.20623006589568,0.20623006589568,0.0,0.20623006589568,0.0,1,0,0.16,minimize,False
stats.prdc.precision,0.8850299401197604,0.8850299401197604,0.8850299401197604,0.0,0.8850299401197604,0.0,1,0,0.03,maximize,False
stats.prdc.recall,0.8778443113772455,0.8778443113772455,0.8778443113772455,0.0,0.8778443113772455,0.0,1,0,0.03,maximize,False
stats.prdc.density,0.7310179640718564,0.7310179640718564,0.7310179640718564,0.0,0.7310179640718564,0.0,1,0,0.03,maximize,False
stats.prdc.coverage,0.7832335329341318,0.7832335329341318,0.7832335329341318,0.0,0.7832335329341318,0.0,1,0,0.03,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.7782035928143713,0.7782035928143713,0.7782035928143713,0.0,0.7782035928143713,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.434570858283433,0.434570858283433,0.434570858283433,0.0,0.434570858283433,0.0,1,0,0.12,maximize,False
stats.alpha_precision.authenticity_OC,0.5449101796407185,0.5449101796407185,0.5449101796407185,0.0,0.5449101796407185,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9319485167595842,0.9319485167595842,0.9319485167595842,0.0,0.9319485167595842,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.27952095808383237,0.27952095808383237,0.27952095808383237,0.0,0.27952095808383237,0.0,1,0,0.12,maximize,False
stats.alpha_precision.authenticity_naive,0.5832335329341317,0.5832335329341317,0.5832335329341317,0.0,0.5832335329341317,0.0,1,0,0.12,maximize,False
privacy.delta-presence.score,9.999999900000002,9.999999900000002,9.999999900000002,0.0,9.999999900000002,0.0,1,0,0.4,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.66,maximize,False
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.66,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.29,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.78,maximize,False
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.78,maximize,False
privacy.identifiability_score.score,0.2946107784431138,0.2946107784431138,0.2946107784431138,0.0,0.2946107784431138,0.0,1,0,0.07,minimize,False
privacy.identifiability_score.score_OC,0.4167664670658683,0.4167664670658683,0.4167664670658683,0.0,0.4167664670658683,0.0,1,0,0.07,minimize,False
