index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.4034330576340348,0.4034330576340348,0.4034330576340348,0.0,0.4034330576340348,0.0,1,0,0.03,minimize,False
sanity.close_values_probability.score,0.06107784431137724,0.06107784431137724,0.06107784431137724,0.0,0.06107784431137724,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.02575377573811298,0.02575377573811298,0.02575377573811298,0.0,0.02575377573811298,0.0,1,0,0.11,minimize,False
stats.chi_squared_test.marginal,0.2905911121618977,0.2905911121618977,0.2905911121618977,0.0,0.2905911121618977,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.7260682984352892,0.7260682984352892,0.7260682984352892,0.0,0.7260682984352892,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.8180638722554889,0.8180638722554889,0.8180638722554889,0.0,0.8180638722554889,0.0,1,0,0.03,maximize,False
stats.max_mean_discrepancy.joint,0.006330476771004709,0.006330476771004709,0.006330476771004709,0.0,0.006330476771004709,0.0,1,0,0.06,minimize,False
stats.wasserstein_dist.joint,2.1686184602557965,2.1686184602557965,2.1686184602557965,0.0,2.1686184602557965,0.0,1,0,0.16,minimize,False
stats.prdc.precision,0.046706586826347304,0.046706586826347304,0.046706586826347304,0.0,0.046706586826347304,0.0,1,0,0.05,maximize,False
stats.prdc.recall,0.8239520958083832,0.8239520958083832,0.8239520958083832,0.0,0.8239520958083832,0.0,1,0,0.05,maximize,False
stats.prdc.density,0.009580838323353295,0.009580838323353295,0.009580838323353295,0.0,0.009580838323353295,0.0,1,0,0.05,maximize,False
stats.prdc.coverage,0.0023952095808383233,0.0023952095808383233,0.0023952095808383233,0.0,0.0023952095808383233,0.0,1,0,0.05,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.09612774451097794,0.09612774451097794,0.09612774451097794,0.0,0.09612774451097794,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.004710578842315294,0.004710578842315294,0.004710578842315294,0.0,0.004710578842315294,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.9736526946107784,0.9736526946107784,0.9736526946107784,0.0,0.9736526946107784,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.10634730538922166,0.10634730538922166,0.10634730538922166,0.0,0.10634730538922166,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,228.99999771000003,228.99999771000003,228.99999771000003,0.0,228.99999771000003,0.0,1,0,0.41,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.72,maximize,False
privacy.k-anonymization.syn,9.00000001,9.00000001,9.00000001,0.0,9.00000001,0.0,1,0,0.72,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.36,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.72,maximize,False
privacy.distinct l-diversity.syn,9.00000001,9.00000001,9.00000001,0.0,9.00000001,0.0,1,0,0.72,maximize,False
privacy.identifiability_score.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.04,minimize,False
privacy.identifiability_score.score_OC,0.004790419161676647,0.004790419161676647,0.004790419161676647,0.0,0.004790419161676647,0.0,1,0,0.04,minimize,False
