index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.14004220083254956,0.14004220083254956,0.14004220083254956,0.0,0.14004220083254956,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.0,0.7741935483870968,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.023444208307112628,0.023444208307112628,0.023444208307112628,0.0,0.023444208307112628,0.0,1,0,0.11,minimize,True
stats.chi_squared_test.marginal,0.007196435747776274,0.007196435747776274,0.007196435747776274,0.0,0.007196435747776274,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.555393483241096,0.555393483241096,0.555393483241096,0.0,0.555393483241096,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.818660394265233,0.818660394265233,0.818660394265233,0.0,0.818660394265233,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.08518507056913502,0.08518507056913502,0.08518507056913502,0.0,0.08518507056913502,0.0,1,0,0.02,minimize,True
stats.wasserstein_dist.joint,1.0061664643209907,1.0061664643209907,1.0061664643209907,0.0,1.0061664643209907,0.0,1,0,0.03,minimize,True
stats.prdc.precision,0.05241935483870968,0.05241935483870968,0.05241935483870968,0.0,0.05241935483870968,0.0,1,0,0.02,maximize,True
stats.prdc.recall,0.5745967741935484,0.5745967741935484,0.5745967741935484,0.0,0.5745967741935484,0.0,1,0,0.02,maximize,True
stats.prdc.density,0.010887096774193548,0.010887096774193548,0.010887096774193548,0.0,0.010887096774193548,0.0,1,0,0.02,maximize,True
stats.prdc.coverage,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,0.008064516129032258,0.0,1,0,0.02,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.18145161290322576,0.18145161290322576,0.18145161290322576,0.0,0.18145161290322576,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.026881720430107614,0.026881720430107614,0.026881720430107614,0.0,0.026881720430107614,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.8185483870967742,0.8185483870967742,0.8185483870967742,0.0,0.8185483870967742,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.5043937708565073,0.5043937708565073,0.5043937708565073,0.0,0.5043937708565073,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0028225806451612767,0.0028225806451612767,0.0028225806451612767,0.0,0.0028225806451612767,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.7036290322580645,0.7036290322580645,0.7036290322580645,0.0,0.7036290322580645,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,151.99999848000002,151.99999848000002,151.99999848000002,0.0,151.99999848000002,0.0,1,0,0.3,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.38,maximize,True
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.38,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.21,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.49,maximize,True
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.49,maximize,True
privacy.identifiability_score.score,0.004032258064516129,0.004032258064516129,0.004032258064516129,0.0,0.004032258064516129,0.0,1,0,0.05,minimize,True
privacy.identifiability_score.score_OC,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0,0.016129032258064516,0.0,1,0,0.05,minimize,True
