index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.08318763334067875,0.08318763334067875,0.08318763334067875,0.0,0.08318763334067875,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.9281437125748503,0.9281437125748503,0.9281437125748503,0.0,0.9281437125748503,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.00775306917855567,0.00775306917855567,0.00775306917855567,0.0,0.00775306917855567,0.0,1,0,0.11,minimize,False
stats.chi_squared_test.marginal,0.5416887382216312,0.5416887382216312,0.5416887382216312,0.0,0.5416887382216312,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9352713410153753,0.9352713410153753,0.9352713410153753,0.0,0.9352713410153753,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.8884231536926148,0.8884231536926148,0.8884231536926148,0.0,0.8884231536926148,0.0,1,0,0.03,maximize,False
stats.max_mean_discrepancy.joint,0.002975886475707112,0.002975886475707112,0.002975886475707112,0.0,0.002975886475707112,0.0,1,0,0.05,minimize,False
stats.wasserstein_dist.joint,0.3169155920620205,0.3169155920620205,0.3169155920620205,0.0,0.3169155920620205,0.0,1,0,0.16,minimize,False
stats.prdc.precision,0.8455089820359282,0.8455089820359282,0.8455089820359282,0.0,0.8455089820359282,0.0,1,0,0.05,maximize,False
stats.prdc.recall,0.8634730538922155,0.8634730538922155,0.8634730538922155,0.0,0.8634730538922155,0.0,1,0,0.05,maximize,False
stats.prdc.density,0.7240718562874252,0.7240718562874252,0.7240718562874252,0.0,0.7240718562874252,0.0,1,0,0.05,maximize,False
stats.prdc.coverage,0.7485029940119761,0.7485029940119761,0.7485029940119761,0.0,0.7485029940119761,0.0,1,0,0.05,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.8786427145708583,0.8786427145708583,0.8786427145708583,0.0,0.8786427145708583,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.4506986027944112,0.4506986027944112,0.4506986027944112,0.0,0.4506986027944112,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.5125748502994012,0.5125748502994012,0.5125748502994012,0.0,0.5125748502994012,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.8487824351297405,0.8487824351297405,0.8487824351297405,0.0,0.8487824351297405,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.29548902195608784,0.29548902195608784,0.29548902195608784,0.0,0.29548902195608784,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.5676646706586826,0.5676646706586826,0.5676646706586826,0.0,0.5676646706586826,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,8.999999955,8.999999955,8.999999955,0.0,8.999999955,0.0,1,0,0.44,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.73,maximize,False
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.73,maximize,False
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.32,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.88,maximize,False
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.88,maximize,False
privacy.identifiability_score.score,0.28263473053892213,0.28263473053892213,0.28263473053892213,0.0,0.28263473053892213,0.0,1,0,0.04,minimize,False
privacy.identifiability_score.score_OC,0.44550898203592815,0.44550898203592815,0.44550898203592815,0.0,0.44550898203592815,0.0,1,0,0.04,minimize,False
