index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.13120585582069857,0.13120585582069857,0.13120585582069857,0.0,0.13120585582069857,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.8467741935483871,0.8467741935483871,0.8467741935483871,0.0,0.8467741935483871,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.013687705312025405,0.013687705312025405,0.013687705312025405,0.0,0.013687705312025405,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.04831610611329882,0.04831610611329882,0.04831610611329882,0.0,0.04831610611329882,0.0,1,0,0.0,maximize,True
stats.inv_kl_divergence.marginal,0.6189271355765336,0.6189271355765336,0.6189271355765336,0.0,0.6189271355765336,0.0,1,0,0.0,maximize,True
stats.ks_test.marginal,0.8968413978494623,0.8968413978494623,0.8968413978494623,0.0,0.8968413978494623,0.0,1,0,0.0,maximize,True
stats.max_mean_discrepancy.joint,0.011135050281705782,0.011135050281705782,0.011135050281705782,0.0,0.011135050281705782,0.0,1,0,0.0,minimize,True
stats.wasserstein_dist.joint,0.6075625260344708,0.6075625260344708,0.6075625260344708,0.0,0.6075625260344708,0.0,1,0,0.0,minimize,True
stats.prdc.precision,0.35080645161290325,0.35080645161290325,0.35080645161290325,0.0,0.35080645161290325,0.0,1,0,0.0,maximize,True
stats.prdc.recall,0.028225806451612902,0.028225806451612902,0.028225806451612902,0.0,0.028225806451612902,0.0,1,0,0.0,maximize,True
stats.prdc.density,0.20080645161290325,0.20080645161290325,0.20080645161290325,0.0,0.20080645161290325,0.0,1,0,0.0,maximize,True
stats.prdc.coverage,0.07661290322580645,0.07661290322580645,0.07661290322580645,0.0,0.07661290322580645,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.5959909158324064,0.5959909158324064,0.5959909158324064,0.0,0.5959909158324064,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.06518817204301075,0.06518817204301075,0.06518817204301075,0.0,0.06518817204301075,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.780241935483871,0.780241935483871,0.780241935483871,0.0,0.780241935483871,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6921162402669633,0.6921162402669633,0.6921162402669633,0.0,0.6921162402669633,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.01572580645161281,0.01572580645161281,0.01572580645161281,0.0,0.01572580645161281,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,0.7661290322580645,0.7661290322580645,0.7661290322580645,0.0,0.7661290322580645,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,5.333333329777777,5.333333329777777,5.333333329777777,0.0,5.333333329777777,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.syn,20.00000001,20.00000001,20.00000001,0.0,20.00000001,0.0,1,0,0.0,maximize,True
privacy.k-map.score,15.0,15.0,15.0,0.0,15.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,20.00000001,20.00000001,20.00000001,0.0,20.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.046370967741935484,0.046370967741935484,0.046370967741935484,0.0,0.046370967741935484,0.0,1,0,0.0,minimize,True
privacy.identifiability_score.score_OC,0.06653225806451613,0.06653225806451613,0.06653225806451613,0.0,0.06653225806451613,0.0,1,0,0.0,minimize,True
