index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.06958583888483416,0.06958583888483416,0.06958583888483416,0.0,0.06958583888483416,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.9461077844311377,0.9461077844311377,0.9461077844311377,0.0,0.9461077844311377,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.0036408922681973052,0.0036408922681973052,0.0036408922681973052,0.0,0.0036408922681973052,0.0,1,0,0.11,minimize,False
stats.chi_squared_test.marginal,0.5219823526716418,0.5219823526716418,0.5219823526716418,0.0,0.5219823526716418,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.9311546520759557,0.9311546520759557,0.9311546520759557,0.0,0.9311546520759557,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9271457085828343,0.9271457085828343,0.9271457085828343,0.0,0.9271457085828343,0.0,1,0,0.03,maximize,False
stats.max_mean_discrepancy.joint,0.002795088959758092,0.002795088959758092,0.002795088959758092,0.0,0.002795088959758092,0.0,1,0,0.05,minimize,False
stats.wasserstein_dist.joint,0.1724386348235481,0.1724386348235481,0.1724386348235481,0.0,0.1724386348235481,0.0,1,0,0.16,minimize,False
stats.prdc.precision,0.9173652694610779,0.9173652694610779,0.9173652694610779,0.0,0.9173652694610779,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.8994011976047904,0.8994011976047904,0.8994011976047904,0.0,0.8994011976047904,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.8567664670658683,0.8567664670658683,0.8567664670658683,0.0,0.8567664670658683,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.8455089820359282,0.8455089820359282,0.8455089820359282,0.0,0.8455089820359282,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.7878642714570858,0.7878642714570858,0.7878642714570858,0.0,0.7878642714570858,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.4403193612774452,0.4403193612774452,0.4403193612774452,0.0,0.4403193612774452,0.0,1,0,0.12,maximize,False
stats.alpha_precision.authenticity_OC,0.5305389221556887,0.5305389221556887,0.5305389221556887,0.0,0.5305389221556887,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9443347787184252,0.9443347787184252,0.9443347787184252,0.0,0.9443347787184252,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.3912175648702596,0.3912175648702596,0.3912175648702596,0.0,0.3912175648702596,0.0,1,0,0.12,maximize,False
stats.alpha_precision.authenticity_naive,0.5353293413173653,0.5353293413173653,0.5353293413173653,0.0,0.5353293413173653,0.0,1,0,0.12,maximize,False
privacy.delta-presence.score,4.999999950000001,4.999999950000001,4.999999950000001,0.0,4.999999950000001,0.0,1,0,0.36,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.56,maximize,False
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.56,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.36,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.91,maximize,False
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.91,maximize,False
privacy.identifiability_score.score,0.37604790419161677,0.37604790419161677,0.37604790419161677,0.0,0.37604790419161677,0.0,1,0,0.04,minimize,False
privacy.identifiability_score.score_OC,0.44550898203592815,0.44550898203592815,0.44550898203592815,0.0,0.44550898203592815,0.0,1,0,0.04,minimize,False
