index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.08408673464926883,0.08408673464926883,0.08408673464926883,0.0,0.08408673464926883,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.0,0.9032258064516129,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.009680710861822307,0.009680710861822307,0.009680710861822307,0.0,0.009680710861822307,0.0,1,0,0.1,minimize,True
stats.chi_squared_test.marginal,0.026089465913656,0.026089465913656,0.026089465913656,0.0,0.026089465913656,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.6346769121445877,0.6346769121445877,0.6346769121445877,0.0,0.6346769121445877,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.9322916666666666,0.9322916666666666,0.9322916666666666,0.0,0.9322916666666666,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.005644008867333206,0.005644008867333206,0.005644008867333206,0.0,0.005644008867333206,0.0,1,0,0.02,minimize,True
stats.wasserstein_dist.joint,0.49861513077596015,0.49861513077596015,0.49861513077596015,0.0,0.49861513077596015,0.0,1,0,0.03,minimize,True
stats.prdc.precision,0.9375,0.9375,0.9375,0.0,0.9375,0.0,1,0,0.02,maximize,True
stats.prdc.recall,0.6310483870967742,0.6310483870967742,0.6310483870967742,0.0,0.6310483870967742,0.0,1,0,0.02,maximize,True
stats.prdc.density,1.0633064516129032,1.0633064516129032,1.0633064516129032,0.0,1.0633064516129032,0.0,1,0,0.02,maximize,True
stats.prdc.coverage,0.7157258064516129,0.7157258064516129,0.7157258064516129,0.0,0.7157258064516129,0.0,1,0,0.02,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.728494623655914,0.728494623655914,0.728494623655914,0.0,0.728494623655914,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4912634408602151,0.4912634408602151,0.4912634408602151,0.0,0.4912634408602151,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.5342741935483871,0.5342741935483871,0.5342741935483871,0.0,0.5342741935483871,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.615725806451613,0.615725806451613,0.615725806451613,0.0,0.615725806451613,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.331989247311828,0.331989247311828,0.331989247311828,0.0,0.331989247311828,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.5564516129032258,0.5564516129032258,0.5564516129032258,0.0,0.5564516129032258,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,17.4999999125,17.4999999125,17.4999999125,0.0,17.4999999125,0.0,1,0,0.23,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.28,maximize,True
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.28,maximize,True
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.21,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.51,maximize,True
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.51,maximize,True
privacy.identifiability_score.score,0.3649193548387097,0.3649193548387097,0.3649193548387097,0.0,0.3649193548387097,0.0,1,0,0.06,minimize,True
privacy.identifiability_score.score_OC,0.4012096774193548,0.4012096774193548,0.4012096774193548,0.0,0.4012096774193548,0.0,1,0,0.06,minimize,True
