index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.0785063133952374,0.0785063133952374,0.0785063133952374,0.0,0.0785063133952374,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.0,0.9193548387096774,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.008840658446136017,0.008840658446136017,0.008840658446136017,0.0,0.008840658446136017,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.05479345641320225,0.05479345641320225,0.05479345641320225,0.0,0.05479345641320225,0.0,1,0,0.0,maximize,True
stats.inv_kl_divergence.marginal,0.6473869453728427,0.6473869453728427,0.6473869453728427,0.0,0.6473869453728427,0.0,1,0,0.0,maximize,True
stats.ks_test.marginal,0.94024417562724,0.94024417562724,0.94024417562724,0.0,0.94024417562724,0.0,1,0,0.0,maximize,True
stats.max_mean_discrepancy.joint,0.0044708731788351,0.0044708731788351,0.0044708731788351,0.0,0.0044708731788351,0.0,1,0,0.0,minimize,True
stats.wasserstein_dist.joint,0.49570297927819623,0.49570297927819623,0.49570297927819623,0.0,0.49570297927819623,0.0,1,0,0.0,minimize,True
stats.prdc.precision,0.969758064516129,0.969758064516129,0.969758064516129,0.0,0.969758064516129,0.0,1,0,0.0,maximize,True
stats.prdc.recall,0.6975806451612904,0.6975806451612904,0.6975806451612904,0.0,0.6975806451612904,0.0,1,0,0.0,maximize,True
stats.prdc.density,1.0883064516129033,1.0883064516129033,1.0883064516129033,0.0,1.0883064516129033,0.0,1,0,0.0,maximize,True
stats.prdc.coverage,0.7983870967741935,0.7983870967741935,0.7983870967741935,0.0,0.7983870967741935,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.7525537634408602,0.7525537634408602,0.7525537634408602,0.0,0.7525537634408602,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.5049731182795699,0.5049731182795699,0.5049731182795699,0.0,0.5049731182795699,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.46774193548387094,0.46774193548387094,0.46774193548387094,0.0,0.46774193548387094,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.626747311827957,0.626747311827957,0.626747311827957,0.0,0.626747311827957,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.36935483870967734,0.36935483870967734,0.36935483870967734,0.0,0.36935483870967734,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,0.5504032258064516,0.5504032258064516,0.5504032258064516,0.0,0.5504032258064516,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,2.9166666642361108,2.9166666642361108,2.9166666642361108,0.0,2.9166666642361108,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.0,maximize,True
privacy.k-map.score,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.4415322580645161,0.4415322580645161,0.4415322580645161,0.0,0.4415322580645161,0.0,1,0,0.0,minimize,True
privacy.identifiability_score.score_OC,0.4495967741935484,0.4495967741935484,0.4495967741935484,0.0,0.4495967741935484,0.0,1,0,0.0,minimize,True
