index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.08382322377654614,0.08382322377654614,0.08382322377654614,0.0,0.08382322377654614,0.0,1,0,0.12,minimize,False
sanity.close_values_probability.score,0.9173652694610779,0.9173652694610779,0.9173652694610779,0.0,0.9173652694610779,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.007538925277802495,0.007538925277802495,0.007538925277802495,0.0,0.007538925277802495,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.12954770427476425,0.12954770427476425,0.12954770427476425,0.0,0.12954770427476425,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.7082038894745433,0.7082038894745433,0.7082038894745433,0.0,0.7082038894745433,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.8733200266134398,0.8733200266134398,0.8733200266134398,0.0,0.8733200266134398,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.005806384447060781,0.005806384447060781,0.005806384447060781,0.0,0.005806384447060781,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,0.29285102088806936,0.29285102088806936,0.29285102088806936,0.0,0.29285102088806936,0.0,1,0,0.01,minimize,False
stats.prdc.precision,0.948502994011976,0.948502994011976,0.948502994011976,0.0,0.948502994011976,0.0,1,0,0.01,maximize,False
stats.prdc.recall,0.32335329341317365,0.32335329341317365,0.32335329341317365,0.0,0.32335329341317365,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.9053892215568862,0.9053892215568862,0.9053892215568862,0.0,0.9053892215568862,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,0.4502994011976048,0.4502994011976048,0.4502994011976048,0.0,0.4502994011976048,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9039520958083833,0.9039520958083833,0.9039520958083833,0.0,0.9039520958083833,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.4346506986027945,0.4346506986027945,0.4346506986027945,0.0,0.4346506986027945,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.5568862275449101,0.5568862275449101,0.5568862275449101,0.0,0.5568862275449101,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.7392415169660679,0.7392415169660679,0.7392415169660679,0.0,0.7392415169660679,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.32223552894211593,0.32223552894211593,0.32223552894211593,0.0,0.32223552894211593,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.5365269461077844,0.5365269461077844,0.5365269461077844,0.0,0.5365269461077844,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,11.999999880000003,11.999999880000003,11.999999880000003,0.0,11.999999880000003,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.18323353293413175,0.18323353293413175,0.18323353293413175,0.0,0.18323353293413175,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.4275449101796407,0.4275449101796407,0.4275449101796407,0.0,0.4275449101796407,0.0,1,0,0.01,minimize,False
