index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.3230810904019753,0.3230810904019753,0.3230810904019753,0.0,0.3230810904019753,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.04910179640718563,0.04910179640718563,0.04910179640718563,0.0,0.04910179640718563,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.15748780022615574,0.15748780022615574,0.15748780022615574,0.0,0.15748780022615574,0.0,1,0,0.12,minimize,False
stats.chi_squared_test.marginal,0.5762530761880466,0.5762530761880466,0.5762530761880466,0.0,0.5762530761880466,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.7869088353926316,0.7869088353926316,0.7869088353926316,0.0,0.7869088353926316,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.20069860279441115,0.20069860279441115,0.20069860279441115,0.0,0.20069860279441115,0.0,1,0,0.03,maximize,False
stats.max_mean_discrepancy.joint,0.003251215871012527,0.003251215871012527,0.003251215871012527,0.0,0.003251215871012527,0.0,1,0,0.05,minimize,False
stats.wasserstein_dist.joint,11.176417672935191,11.176417672935191,11.176417672935191,0.0,11.176417672935191,0.0,1,0,0.11,minimize,False
stats.prdc.precision,0.9844311377245509,0.9844311377245509,0.9844311377245509,0.0,0.9844311377245509,0.0,1,0,0.03,maximize,False
stats.prdc.recall,0.31736526946107785,0.31736526946107785,0.31736526946107785,0.0,0.31736526946107785,0.0,1,0,0.03,maximize,False
stats.prdc.density,0.3918562874251497,0.3918562874251497,0.3918562874251497,0.0,0.3918562874251497,0.0,1,0,0.03,maximize,False
stats.prdc.coverage,0.003592814371257485,0.003592814371257485,0.003592814371257485,0.0,0.003592814371257485,0.0,1,0,0.03,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.7700763989262853,0.7700763989262853,0.7700763989262853,0.0,0.7700763989262853,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.007664670658682593,0.007664670658682593,0.007664670658682593,0.0,0.007664670658682593,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.9748502994011976,0.9748502994011976,0.9748502994011976,0.0,0.9748502994011976,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,289.99999710000003,289.99999710000003,289.99999710000003,0.0,289.99999710000003,0.0,1,0,0.4,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.65,maximize,False
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.65,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.43,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.71,maximize,False
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.71,maximize,False
privacy.identifiability_score.score,0.0011976047904191617,0.0011976047904191617,0.0011976047904191617,0.0,0.0011976047904191617,0.0,1,0,0.04,minimize,False
privacy.identifiability_score.score_OC,0.013173652694610778,0.013173652694610778,0.013173652694610778,0.0,0.013173652694610778,0.0,1,0,0.04,minimize,False
