index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.9940119760359999,0.9940119760359999,0.9940119760359999,0.0,0.9940119760359999,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.0011801048922368015,0.0011801048922368015,0.0011801048922368015,0.0,0.0011801048922368015,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.9988023952095808,0.9988023952095808,0.9988023952095808,0.0,0.9988023952095808,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,5.671169148575469e-05,5.671169148575469e-05,5.671169148575469e-05,0.0,5.671169148575469e-05,0.0,1,0,0.01,minimize,False
stats.chi_squared_test.marginal,0.9442985079493263,0.9442985079493263,0.9442985079493263,0.0,0.9442985079493263,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.999995761443553,0.999995761443553,0.999995761443553,0.0,0.999995761443553,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9994677312042582,0.9994677312042582,0.9994677312042582,0.0,0.9994677312042582,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,1.5605383135305732e-05,1.5605383135305732e-05,1.5605383135305732e-05,0.0,1.5605383135305732e-05,0.0,1,0,0.01,minimize,False
stats.wasserstein_dist.joint,1.5003904434412595e-05,1.5003904434412595e-05,1.5003904434412595e-05,0.0,1.5003904434412595e-05,0.0,1,0,0.01,minimize,False
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
stats.prdc.density,0.8926946107784431,0.8926946107784431,0.8926946107784431,0.0,0.8926946107784431,0.0,1,0,0.01,maximize,False
stats.prdc.coverage,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9977809897446487,0.9977809897446487,0.9977809897446487,0.0,0.9977809897446487,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.9991492876316334,0.9991492876316334,0.9991492876316334,0.0,0.9991492876316334,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9986289489985546,0.9986289489985546,0.9986289489985546,0.0,0.9986289489985546,0.0,1,0,0.01,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.9991492876316334,0.9991492876316334,0.9991492876316334,0.0,0.9991492876316334,0.0,1,0,0.01,maximize,False
stats.alpha_precision.authenticity_naive,0.0011976047904191617,0.0011976047904191617,0.0011976047904191617,0.0,0.0011976047904191617,0.0,1,0,0.01,maximize,False
privacy.delta-presence.score,1.0197628458094956,1.0197628458094956,1.0197628458094956,0.0,1.0197628458094956,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.01,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.01,maximize,False
privacy.identifiability_score.score,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.0,0.9880239520958084,0.0,1,0,0.01,minimize,False
privacy.identifiability_score.score_OC,0.9880239520958084,0.9880239520958084,0.9880239520958084,0.0,0.9880239520958084,0.0,1,0,0.01,minimize,False
