index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.5846774193430508,0.5846774193430508,0.5846774193430508,0.0,0.5846774193430508,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.06270138579923216,0.06270138579923216,0.06270138579923216,0.0,0.06270138579923216,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.0,0.9193548387096774,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.008617230280889175,0.008617230280889175,0.008617230280889175,0.0,0.008617230280889175,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.05426845388466427,0.05426845388466427,0.05426845388466427,0.0,0.05426845388466427,0.0,1,0,0.01,maximize,True
stats.inv_kl_divergence.marginal,0.6566179289535358,0.6566179289535358,0.6566179289535358,0.0,0.6566179289535358,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9462365591397851,0.9462365591397851,0.9462365591397851,0.0,0.9462365591397851,0.0,1,0,0.01,maximize,True
stats.max_mean_discrepancy.joint,0.001965225478009018,0.001965225478009018,0.001965225478009018,0.0,0.001965225478009018,0.0,1,0,0.01,minimize,True
stats.wasserstein_dist.joint,0.49333852803366707,0.49333852803366707,0.49333852803366707,0.0,0.49333852803366707,0.0,1,0,0.01,minimize,True
stats.prdc.precision,0.9899193548387096,0.9899193548387096,0.9899193548387096,0.0,0.9899193548387096,0.0,1,0,0.01,maximize,True
stats.prdc.recall,0.6975806451612904,0.6975806451612904,0.6975806451612904,0.0,0.6975806451612904,0.0,1,0,0.01,maximize,True
stats.prdc.density,1.0326612903225807,1.0326612903225807,1.0326612903225807,0.0,1.0326612903225807,0.0,1,0,0.01,maximize,True
stats.prdc.coverage,0.8165322580645161,0.8165322580645161,0.8165322580645161,0.0,0.8165322580645161,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.7075268817204302,0.7075268817204302,0.7075268817204302,0.0,0.7075268817204302,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.8748655913978495,0.8748655913978495,0.8748655913978495,0.0,0.8748655913978495,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.3467741935483871,0.3467741935483871,0.3467741935483871,0.0,0.3467741935483871,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6084677419354839,0.6084677419354839,0.6084677419354839,0.0,0.6084677419354839,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.6540322580645161,0.6540322580645161,0.6540322580645161,0.0,0.6540322580645161,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,0.3971774193548387,0.3971774193548387,0.3971774193548387,0.0,0.3971774193548387,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,5.833333323611111,5.833333323611111,5.833333323611111,0.0,5.833333323611111,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.01,maximize,True
privacy.k-map.score,6.0,6.0,6.0,0.0,6.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.6350806451612904,0.6350806451612904,0.6350806451612904,0.0,0.6350806451612904,0.0,1,0,0.01,minimize,True
privacy.identifiability_score.score_OC,0.6512096774193549,0.6512096774193549,0.6512096774193549,0.0,0.6512096774193549,0.0,1,0,0.01,minimize,True
