index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.04188258227292038,0.04188258227292038,0.04188258227292038,0.0,0.04188258227292038,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.987,0.987,0.987,0.0,0.987,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.006052557314731169,0.006052557314731169,0.006052557314731169,0.0,0.006052557314731169,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.9493484593539084,0.9493484593539084,0.9493484593539084,0.0,0.9493484593539084,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.9762469716806934,0.9762469716806934,0.9762469716806934,0.0,0.9762469716806934,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9559523809523809,0.9559523809523809,0.9559523809523809,0.0,0.9559523809523809,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.0019999999174116372,0.0019999999174116372,0.0019999999174116372,0.0,0.0019999999174116372,0.0,1,0,0.06,minimize,False
stats.wasserstein_dist.joint,0.4728355816197227,0.4728355816197227,0.4728355816197227,0.0,0.4728355816197227,0.0,1,0,0.14,minimize,False
stats.prdc.precision,0.973,0.973,0.973,0.0,0.973,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.99,0.99,0.99,0.0,0.99,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.9354,0.9354,0.9354,0.0,0.9354,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.932,0.932,0.932,0.0,0.932,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.959432183908046,0.959432183908046,0.959432183908046,0.0,0.959432183908046,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.4479333333333333,0.4479333333333333,0.4479333333333333,0.0,0.4479333333333333,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.499,0.499,0.499,0.0,0.499,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9690436781609195,0.9690436781609195,0.9690436781609195,0.0,0.9690436781609195,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.40779999999999994,0.40779999999999994,0.40779999999999994,0.0,0.40779999999999994,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.537,0.537,0.537,0.0,0.537,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,1.8771929822914744,1.8771929822914744,1.8771929822914744,0.0,1.8771929822914744,0.0,1,0,0.36,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.71,maximize,False
privacy.k-anonymization.syn,13.00000001,13.00000001,13.00000001,0.0,13.00000001,0.0,1,0,0.71,maximize,False
privacy.k-map.score,7.0,7.0,7.0,0.0,7.0,0.0,1,0,0.36,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.83,maximize,False
privacy.distinct l-diversity.syn,13.00000001,13.00000001,13.00000001,0.0,13.00000001,0.0,1,0,0.83,maximize,False
privacy.identifiability_score.score,0.474,0.474,0.474,0.0,0.474,0.0,1,0,0.07,minimize,False
privacy.identifiability_score.score_OC,0.467,0.467,0.467,0.0,0.467,0.0,1,0,0.07,minimize,False
