index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.01243080523544998,0.01243080523544998,0.01243080523544998,0.0,0.01243080523544998,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.007789888250947707,0.007789888250947707,0.007789888250947707,0.0,0.007789888250947707,0.0,1,0,0.07,minimize,True
stats.chi_squared_test.marginal,0.937558873118226,0.937558873118226,0.937558873118226,0.0,0.937558873118226,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9612282818766282,0.9612282818766282,0.9612282818766282,0.0,0.9612282818766282,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.9508912518621254,0.9508912518621254,0.9508912518621254,0.0,0.9508912518621254,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.0021574972638058318,0.0021574972638058318,0.0021574972638058318,0.0,0.0021574972638058318,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.4714488078608746,0.4714488078608746,0.4714488078608746,0.0,0.4714488078608746,0.0,1,0,0.12,minimize,True
stats.prdc.precision,0.9848975188781014,0.9848975188781014,0.9848975188781014,0.0,0.9848975188781014,0.0,1,0,0.04,maximize,True
stats.prdc.recall,0.9590075512405609,0.9590075512405609,0.9590075512405609,0.0,0.9590075512405609,0.0,1,0,0.04,maximize,True
stats.prdc.density,1.0196332254584684,1.0196332254584684,1.0196332254584684,0.0,1.0196332254584684,0.0,1,0,0.04,maximize,True
stats.prdc.coverage,0.8867313915857605,0.8867313915857605,0.8867313915857605,0.0,0.8867313915857605,0.0,1,0,0.04,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9792756264801795,0.9792756264801795,0.9792756264801795,0.0,0.9792756264801795,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4997482919813018,0.4997482919813018,0.4997482919813018,0.0,0.4997482919813018,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.4778856526429342,0.4778856526429342,0.4778856526429342,0.0,0.4778856526429342,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.9520812409329316,0.9520812409329316,0.9520812409329316,0.0,0.9520812409329316,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.47285149226896794,0.47285149226896794,0.47285149226896794,0.0,0.47285149226896794,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.5285868392664509,0.5285868392664509,0.5285868392664509,0.0,0.5285868392664509,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,3.051282050499671,3.051282050499671,3.051282050499671,0.0,3.051282050499671,0.0,1,0,0.36,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.81,maximize,True
privacy.k-anonymization.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.81,maximize,True
privacy.k-map.score,9.0,9.0,9.0,0.0,9.0,0.0,1,0,0.4,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.71,maximize,True
privacy.distinct l-diversity.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.71,maximize,True
privacy.identifiability_score.score,0.46494066882416396,0.46494066882416396,0.46494066882416396,0.0,0.46494066882416396,0.0,1,0,0.17,minimize,True
privacy.identifiability_score.score_OC,0.49514563106796117,0.49514563106796117,0.49514563106796117,0.0,0.49514563106796117,0.0,1,0,0.17,minimize,True
