index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.012309517732826543,0.012309517732826543,0.012309517732826543,0.0,0.012309517732826543,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.004048676403389549,0.004048676403389549,0.004048676403389549,0.0,0.004048676403389549,0.0,1,0,0.06,minimize,True
stats.chi_squared_test.marginal,0.9480448887982917,0.9480448887982917,0.9480448887982917,0.0,0.9480448887982917,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9763380962620232,0.9763380962620232,0.9763380962620232,0.0,0.9763380962620232,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.9753428879642473,0.9753428879642473,0.9753428879642473,0.0,0.9753428879642473,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.002157497303064639,0.002157497303064639,0.002157497303064639,0.0,0.002157497303064639,0.0,1,0,0.07,minimize,True
stats.wasserstein_dist.joint,0.45836399457732624,0.45836399457732624,0.45836399457732624,0.0,0.45836399457732624,0.0,1,0,0.17,minimize,True
stats.prdc.precision,0.9892125134843581,0.9892125134843581,0.9892125134843581,0.0,0.9892125134843581,0.0,1,0,0.03,maximize,True
stats.prdc.recall,0.9654800431499461,0.9654800431499461,0.9654800431499461,0.0,0.9654800431499461,0.0,1,0,0.03,maximize,True
stats.prdc.density,1.0094929881337649,1.0094929881337649,1.0094929881337649,0.0,1.0094929881337649,0.0,1,0,0.03,maximize,True
stats.prdc.coverage,0.9449838187702265,0.9449838187702265,0.9449838187702265,0.0,0.9449838187702265,0.0,1,0,0.03,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9789656412354771,0.9789656412354771,0.9789656412354771,0.0,0.9789656412354771,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4770945702984537,0.4770945702984537,0.4770945702984537,0.0,0.4770945702984537,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.511326860841424,0.511326860841424,0.511326860841424,0.0,0.511326860841424,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.9490607447085518,0.9490607447085518,0.9490607447085518,0.0,0.9490607447085518,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.45185185185185195,0.45185185185185195,0.45185185185185195,0.0,0.45185185185185195,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.4919093851132686,0.4919093851132686,0.4919093851132686,0.0,0.4919093851132686,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,3.249999991875,3.249999991875,3.249999991875,0.0,3.249999991875,0.0,1,0,0.41,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.62,maximize,True
privacy.k-anonymization.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.62,maximize,True
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.33,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.86,maximize,True
privacy.distinct l-diversity.syn,17.00000001,17.00000001,17.00000001,0.0,17.00000001,0.0,1,0,0.86,maximize,True
privacy.identifiability_score.score,0.49406688241639696,0.49406688241639696,0.49406688241639696,0.0,0.49406688241639696,0.0,1,0,0.12,minimize,True
privacy.identifiability_score.score_OC,0.48004314994606256,0.48004314994606256,0.48004314994606256,0.0,0.48004314994606256,0.0,1,0,0.12,minimize,True
