index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.032338028300241385,0.032338028300241385,0.032338028300241385,0.0,0.032338028300241385,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.985,0.985,0.985,0.0,0.985,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.01008335643625062,0.01008335643625062,0.01008335643625062,0.0,0.01008335643625062,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.8837610189999997,0.8837610189999997,0.8837610189999997,0.0,0.8837610189999997,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.9689992435982817,0.9689992435982817,0.9689992435982817,0.0,0.9689992435982817,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9391428571428571,0.9391428571428571,0.9391428571428571,0.0,0.9391428571428571,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.002000000077191913,0.002000000077191913,0.002000000077191913,0.0,0.002000000077191913,0.0,1,0,0.07,minimize,False
stats.wasserstein_dist.joint,0.49667086837546814,0.49667086837546814,0.49667086837546814,0.0,0.49667086837546814,0.0,1,0,0.13,minimize,False
stats.prdc.precision,0.982,0.982,0.982,0.0,0.982,0.0,1,0,0.05,maximize,False
stats.prdc.recall,0.995,0.995,0.995,0.0,0.995,0.0,1,0,0.05,maximize,False
stats.prdc.density,0.9720000000000001,0.9720000000000001,0.9720000000000001,0.0,0.9720000000000001,0.0,1,0,0.05,maximize,False
stats.prdc.coverage,0.919,0.919,0.919,0.0,0.919,0.0,1,0,0.05,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9182436781609196,0.9182436781609196,0.9182436781609196,0.0,0.9182436781609196,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.45099999999999996,0.45099999999999996,0.45099999999999996,0.0,0.45099999999999996,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.528,0.528,0.528,0.0,0.528,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9533701149425288,0.9533701149425288,0.9533701149425288,0.0,0.9533701149425288,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.4699333333333333,0.4699333333333333,0.4699333333333333,0.0,0.4699333333333333,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.559,0.559,0.559,0.0,0.559,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,2.8372093016657653,2.8372093016657653,2.8372093016657653,0.0,2.8372093016657653,0.0,1,0,0.37,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.75,maximize,False
privacy.k-anonymization.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.75,maximize,False
privacy.k-map.score,4.0,4.0,4.0,0.0,4.0,0.0,1,0,0.27,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.76,maximize,False
privacy.distinct l-diversity.syn,4.00000001,4.00000001,4.00000001,0.0,4.00000001,0.0,1,0,0.76,maximize,False
privacy.identifiability_score.score,0.442,0.442,0.442,0.0,0.442,0.0,1,0,0.07,minimize,False
privacy.identifiability_score.score_OC,0.479,0.479,0.479,0.0,0.479,0.0,1,0,0.07,minimize,False
