index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.014029359523212756,0.014029359523212756,0.014029359523212756,0.0,0.014029359523212756,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9751887810140237,0.9751887810140237,0.9751887810140237,0.0,0.9751887810140237,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.008254916594405736,0.008254916594405736,0.008254916594405736,0.0,0.008254916594405736,0.0,1,0,0.08,minimize,True
stats.chi_squared_test.marginal,0.8969617916456168,0.8969617916456168,0.8969617916456168,0.0,0.8969617916456168,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9528335887249159,0.9528335887249159,0.9528335887249159,0.0,0.9528335887249159,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.948528278625366,0.948528278625366,0.948528278625366,0.0,0.948528278625366,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.002157497301213211,0.002157497301213211,0.002157497301213211,0.0,0.002157497301213211,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.4701068947163527,0.4701068947163527,0.4701068947163527,0.0,0.4701068947163527,0.0,1,0,0.14,minimize,True
stats.prdc.precision,0.9892125134843581,0.9892125134843581,0.9892125134843581,0.0,0.9892125134843581,0.0,1,0,0.03,maximize,True
stats.prdc.recall,0.9449838187702265,0.9449838187702265,0.9449838187702265,0.0,0.9449838187702265,0.0,1,0,0.03,maximize,True
stats.prdc.density,1.0474649406688241,1.0474649406688241,1.0474649406688241,0.0,1.0474649406688241,0.0,1,0,0.03,maximize,True
stats.prdc.coverage,0.9201725997842503,0.9201725997842503,0.9201725997842503,0.0,0.9201725997842503,0.0,1,0,0.03,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9796674478294833,0.9796674478294833,0.9796674478294833,0.0,0.9796674478294833,0.0,1,0,0.12,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.5208198489751887,0.5208198489751887,0.5208198489751887,0.0,0.5208198489751887,0.0,1,0,0.12,maximize,True
stats.alpha_precision.authenticity_OC,0.5199568500539374,0.5199568500539374,0.5199568500539374,0.0,0.5199568500539374,0.0,1,0,0.12,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.9371126734367444,0.9371126734367444,0.9371126734367444,0.0,0.9371126734367444,0.0,1,0,0.12,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.46717008270406324,0.46717008270406324,0.46717008270406324,0.0,0.46717008270406324,0.0,1,0,0.12,maximize,True
stats.alpha_precision.authenticity_naive,0.5307443365695793,0.5307443365695793,0.5307443365695793,0.0,0.5307443365695793,0.0,1,0,0.12,maximize,True
privacy.delta-presence.score,3.3749999957812498,3.3749999957812498,3.3749999957812498,0.0,3.3749999957812498,0.0,1,0,0.43,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.68,maximize,True
privacy.k-anonymization.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.68,maximize,True
privacy.k-map.score,7.0,7.0,7.0,0.0,7.0,0.0,1,0,0.43,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.69,maximize,True
privacy.distinct l-diversity.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.69,maximize,True
privacy.identifiability_score.score,0.44983818770226536,0.44983818770226536,0.44983818770226536,0.0,0.44983818770226536,0.0,1,0,0.13,minimize,True
privacy.identifiability_score.score_OC,0.5016181229773463,0.5016181229773463,0.5016181229773463,0.0,0.5016181229773463,0.0,1,0,0.13,minimize,True
