index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.05244270763575404,0.05244270763575404,0.05244270763575404,0.0,0.05244270763575404,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.961,0.961,0.961,0.0,0.961,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.009395168391551613,0.009395168391551613,0.009395168391551613,0.0,0.009395168391551613,0.0,1,0,0.07,minimize,False
stats.chi_squared_test.marginal,0.9871099580954295,0.9871099580954295,0.9871099580954295,0.0,0.9871099580954295,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.9753848972662335,0.9753848972662335,0.9753848972662335,0.0,0.9753848972662335,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9394761904761905,0.9394761904761905,0.9394761904761905,0.0,0.9394761904761905,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.002357041961159876,0.002357041961159876,0.002357041961159876,0.0,0.002357041961159876,0.0,1,0,0.08,minimize,False
stats.wasserstein_dist.joint,0.5226788628874457,0.5226788628874457,0.5226788628874457,0.0,0.5226788628874457,0.0,1,0,0.17,minimize,False
stats.prdc.precision,0.987,0.987,0.987,0.0,0.987,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.993,0.993,0.993,0.0,0.993,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.852,0.852,0.852,0.0,0.852,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.964,0.964,0.964,0.0,0.964,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9268666666666667,0.9268666666666667,0.9268666666666667,0.0,0.9268666666666667,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.45799999999999996,0.45799999999999996,0.45799999999999996,0.0,0.45799999999999996,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.494,0.494,0.494,0.0,0.494,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.8720666666666667,0.8720666666666667,0.8720666666666667,0.0,0.8720666666666667,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.4405333333333332,0.4405333333333332,0.4405333333333332,0.0,0.4405333333333332,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.526,0.526,0.526,0.0,0.526,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,2.555555552716049,2.555555552716049,2.555555552716049,0.0,2.555555552716049,0.0,1,0,0.27,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.72,maximize,False
privacy.k-anonymization.syn,16.00000001,16.00000001,16.00000001,0.0,16.00000001,0.0,1,0,0.72,maximize,False
privacy.k-map.score,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.38,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.8,maximize,False
privacy.distinct l-diversity.syn,16.00000001,16.00000001,16.00000001,0.0,16.00000001,0.0,1,0,0.8,maximize,False
privacy.identifiability_score.score,0.431,0.431,0.431,0.0,0.431,0.0,1,0,0.03,minimize,False
privacy.identifiability_score.score_OC,0.466,0.466,0.466,0.0,0.466,0.0,1,0,0.03,minimize,False
