index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.012338217667496088,0.012338217667496088,0.012338217667496088,0.0,0.012338217667496088,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.009433730073970862,0.009433730073970862,0.009433730073970862,0.0,0.009433730073970862,0.0,1,0,0.08,minimize,True
stats.chi_squared_test.marginal,0.9364822955079588,0.9364822955079588,0.9364822955079588,0.0,0.9364822955079588,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9617270951536696,0.9617270951536696,0.9617270951536696,0.0,0.9617270951536696,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9434941182513997,0.9434941182513997,0.9434941182513997,0.0,0.9434941182513997,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.002345234268603413,0.002345234268603413,0.002345234268603413,0.0,0.002345234268603413,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.5057895059709467,0.5057895059709467,0.5057895059709467,0.0,0.5057895059709467,0.0,1,0,0.16,minimize,True
stats.prdc.precision,0.9989212513484358,0.9989212513484358,0.9989212513484358,0.0,0.9989212513484358,0.0,1,0,0.03,maximize,True
stats.prdc.recall,0.9611650485436893,0.9611650485436893,0.9611650485436893,0.0,0.9611650485436893,0.0,1,0,0.03,maximize,True
stats.prdc.density,0.943042071197411,0.943042071197411,0.943042071197411,0.0,0.943042071197411,0.0,1,0,0.03,maximize,True
stats.prdc.coverage,0.9288025889967637,0.9288025889967637,0.9288025889967637,0.0,0.9288025889967637,0.0,1,0,0.03,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.8363897878460985,0.8363897878460985,0.8363897878460985,0.0,0.8363897878460985,0.0,1,0,0.12,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.46414958647968363,0.46414958647968363,0.46414958647968363,0.0,0.46414958647968363,0.0,1,0,0.12,maximize,True
stats.alpha_precision.authenticity_OC,0.5264293419633226,0.5264293419633226,0.5264293419633226,0.0,0.5264293419633226,0.0,1,0,0.12,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.9604458827759799,0.9604458827759799,0.9604458827759799,0.0,0.9604458827759799,0.0,1,0,0.12,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.4595469255663429,0.4595469255663429,0.4595469255663429,0.0,0.4595469255663429,0.0,1,0,0.12,maximize,True
stats.alpha_precision.authenticity_naive,0.5393743257820928,0.5393743257820928,0.5393743257820928,0.0,0.5393743257820928,0.0,1,0,0.12,maximize,True
privacy.delta-presence.score,1.8235294106920414,1.8235294106920414,1.8235294106920414,0.0,1.8235294106920414,0.0,1,0,0.38,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.67,maximize,True
privacy.k-anonymization.syn,13.00000001,13.00000001,13.00000001,0.0,13.00000001,0.0,1,0,0.67,maximize,True
privacy.k-map.score,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.27,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.88,maximize,True
privacy.distinct l-diversity.syn,13.00000001,13.00000001,13.00000001,0.0,13.00000001,0.0,1,0,0.88,maximize,True
privacy.identifiability_score.score,0.4228694714131607,0.4228694714131607,0.4228694714131607,0.0,0.4228694714131607,0.0,1,0,0.12,minimize,True
privacy.identifiability_score.score_OC,0.45846817691477887,0.45846817691477887,0.45846817691477887,0.0,0.45846817691477887,0.0,1,0,0.12,minimize,True
