index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.05374357167760084,0.05374357167760084,0.05374357167760084,0.0,0.05374357167760084,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9546925566343042,0.9546925566343042,0.9546925566343042,0.0,0.9546925566343042,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.00977573783031383,0.00977573783031383,0.00977573783031383,0.0,0.00977573783031383,0.0,1,0,0.09,minimize,True
stats.chi_squared_test.marginal,0.7493369103765988,0.7493369103765988,0.7493369103765988,0.0,0.7493369103765988,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.8493973771211448,0.8493973771211448,0.8493973771211448,0.0,0.8493973771211448,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9336826424205066,0.9336826424205066,0.9336826424205066,0.0,0.9336826424205066,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.0021575032429927018,0.0021575032429927018,0.0021575032429927018,0.0,0.0021575032429927018,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.5432675762188359,0.5432675762188359,0.5432675762188359,0.0,0.5432675762188359,0.0,1,0,0.14,minimize,True
stats.prdc.precision,0.9600862998921251,0.9600862998921251,0.9600862998921251,0.0,0.9600862998921251,0.0,1,0,0.04,maximize,True
stats.prdc.recall,0.17691477885652643,0.17691477885652643,0.17691477885652643,0.0,0.17691477885652643,0.0,1,0,0.04,maximize,True
stats.prdc.density,1.009277238403452,1.009277238403452,1.009277238403452,0.0,1.009277238403452,0.0,1,0,0.04,maximize,True
stats.prdc.coverage,0.18122977346278318,0.18122977346278318,0.18122977346278318,0.0,0.18122977346278318,0.0,1,0,0.04,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9080186983099604,0.9080186983099604,0.9080186983099604,0.0,0.9080186983099604,0.0,1,0,0.15,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.44020136641495855,0.44020136641495855,0.44020136641495855,0.0,0.44020136641495855,0.0,1,0,0.15,maximize,True
stats.alpha_precision.authenticity_OC,0.5393743257820928,0.5393743257820928,0.5393743257820928,0.0,0.5393743257820928,0.0,1,0,0.15,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.9102456323079021,0.9102456323079021,0.9102456323079021,0.0,0.9102456323079021,0.0,1,0,0.15,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.35569938870909745,0.35569938870909745,0.35569938870909745,0.0,0.35569938870909745,0.0,1,0,0.15,maximize,True
stats.alpha_precision.authenticity_naive,0.5976267529665588,0.5976267529665588,0.5976267529665588,0.0,0.5976267529665588,0.0,1,0,0.15,maximize,True
privacy.delta-presence.score,3.3529411744982696,3.3529411744982696,3.3529411744982696,0.0,3.3529411744982696,0.0,1,0,0.41,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.7,maximize,True
privacy.k-anonymization.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.7,maximize,True
privacy.k-map.score,17.0,17.0,17.0,0.0,17.0,0.0,1,0,0.39,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.82,maximize,True
privacy.distinct l-diversity.syn,8.00000001,8.00000001,8.00000001,0.0,8.00000001,0.0,1,0,0.82,maximize,True
privacy.identifiability_score.score,0.133764832793959,0.133764832793959,0.133764832793959,0.0,0.133764832793959,0.0,1,0,0.14,minimize,True
privacy.identifiability_score.score_OC,0.42071197411003236,0.42071197411003236,0.42071197411003236,0.0,0.42071197411003236,0.0,1,0,0.14,minimize,True
