index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.04843621198806451,0.04843621198806451,0.04843621198806451,0.0,0.04843621198806451,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.914,0.914,0.914,0.0,0.914,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.1105187616427159,0.1105187616427159,0.1105187616427159,0.0,0.1105187616427159,0.0,1,0,0.07,minimize,False
stats.chi_squared_test.marginal,0.1882487988581063,0.1882487988581063,0.1882487988581063,0.0,0.1882487988581063,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.480301339355795,0.480301339355795,0.480301339355795,0.0,0.480301339355795,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.41285714285714287,0.41285714285714287,0.41285714285714287,0.0,0.41285714285714287,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.0020023733066400107,0.0020023733066400107,0.0020023733066400107,0.0,0.0020023733066400107,0.0,1,0,0.08,minimize,False
stats.wasserstein_dist.joint,2.233434919421582,2.233434919421582,2.233434919421582,0.0,2.233434919421582,0.0,1,0,0.12,minimize,False
stats.prdc.precision,0.994,0.994,0.994,0.0,0.994,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.652,0.652,0.652,0.0,0.652,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.9804,0.9804,0.9804,0.0,0.9804,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.597,0.597,0.597,0.0,0.597,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.46266896551724135,0.46266896551724135,0.46266896551724135,0.0,0.46266896551724135,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.36739999999999995,0.36739999999999995,0.36739999999999995,0.0,0.36739999999999995,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.638,0.638,0.638,0.0,0.638,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.3453402298850574,0.3453402298850574,0.3453402298850574,0.0,0.3453402298850574,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.0,0.0040000000000000036,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.987,0.987,0.987,0.0,0.987,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,116.99999883000002,116.99999883000002,116.99999883000002,0.0,116.99999883000002,0.0,1,0,0.38,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.63,maximize,False
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.63,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.43,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.79,maximize,False
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.79,maximize,False
privacy.identifiability_score.score,0.272,0.272,0.272,0.0,0.272,0.0,1,0,0.04,minimize,False
privacy.identifiability_score.score_OC,0.262,0.262,0.262,0.0,0.262,0.0,1,0,0.04,minimize,False
