index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.054568270816263226,0.054568270816263226,0.054568270816263226,0.0,0.054568270816263226,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.8964401294498382,0.8964401294498382,0.8964401294498382,0.0,0.8964401294498382,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.11584131417865288,0.11584131417865288,0.11584131417865288,0.0,0.11584131417865288,0.0,1,0,0.08,minimize,True
stats.chi_squared_test.marginal,0.37333312502669314,0.37333312502669314,0.37333312502669314,0.0,0.37333312502669314,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.5984349110843924,0.5984349110843924,0.5984349110843924,0.0,0.5984349110843924,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.37031900138696255,0.37031900138696255,0.37031900138696255,0.0,0.37031900138696255,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.0021579738152357557,0.0021579738152357557,0.0021579738152357557,0.0,0.0021579738152357557,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,3.4130368744525685,3.4130368744525685,3.4130368744525685,0.0,3.4130368744525685,0.0,1,0,0.11,minimize,True
stats.prdc.precision,0.8824163969795038,0.8824163969795038,0.8824163969795038,0.0,0.8824163969795038,0.0,1,0,0.03,maximize,True
stats.prdc.recall,0.6472491909385113,0.6472491909385113,0.6472491909385113,0.0,0.6472491909385113,0.0,1,0,0.03,maximize,True
stats.prdc.density,0.6608414239482201,0.6608414239482201,0.6608414239482201,0.0,0.6608414239482201,0.0,1,0,0.03,maximize,True
stats.prdc.coverage,0.5706580366774542,0.5706580366774542,0.5706580366774542,0.0,0.5706580366774542,0.0,1,0,0.03,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.5515282272563826,0.5515282272563826,0.5515282272563826,0.0,0.5515282272563826,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.2345199568500541,0.2345199568500541,0.2345199568500541,0.0,0.2345199568500541,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.7583603020496225,0.7583603020496225,0.7583603020496225,0.0,0.7583603020496225,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.0012944983818770073,0.0012944983818770073,0.0012944983818770073,0.0,0.0012944983818770073,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.001941747572815511,0.001941747572815511,0.001941747572815511,0.0,0.001941747572815511,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,54.499999727500004,54.499999727500004,54.499999727500004,0.0,54.499999727500004,0.0,1,0,0.34,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.79,maximize,True
privacy.k-anonymization.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.79,maximize,True
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.43,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.69,maximize,True
privacy.distinct l-diversity.syn,2.00000001,2.00000001,2.00000001,0.0,2.00000001,0.0,1,0,0.69,maximize,True
privacy.identifiability_score.score,0.15641855447680691,0.15641855447680691,0.15641855447680691,0.0,0.15641855447680691,0.0,1,0,0.13,minimize,True
privacy.identifiability_score.score_OC,0.1790722761596548,0.1790722761596548,0.1790722761596548,0.0,0.1790722761596548,0.0,1,0,0.13,minimize,True
