index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.99999999999,0.99999999999,0.99999999999,0.0,0.99999999999,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,False
stats.max_mean_discrepancy.joint,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.07,minimize,False
stats.wasserstein_dist.joint,6.704706234650326e-19,6.704706234650326e-19,6.704706234650326e-19,0.0,6.704706234650326e-19,0.0,1,0,0.16,minimize,False
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.05,maximize,False
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.05,maximize,False
stats.prdc.density,0.9988,0.9988,0.9988,0.0,0.9988,0.0,1,0,0.05,maximize,False
stats.prdc.coverage,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.05,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.9993356321839081,0.9993356321839081,0.9993356321839081,0.0,0.9993356321839081,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,0.9999999999879081,0.9999999999879081,0.9999999999879081,0.0,0.9999999999879081,0.0,1,0,0.31,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.71,maximize,False
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.71,maximize,False
privacy.k-map.score,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.31,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.69,maximize,False
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.69,maximize,False
privacy.identifiability_score.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.06,minimize,False
privacy.identifiability_score.score_OC,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.06,minimize,False
