index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.9288025889867443,0.9288025889867443,0.9288025889867443,0.0,0.9288025889867443,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.01082199418304378,0.01082199418304378,0.01082199418304378,0.0,0.01082199418304378,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.002346641199857667,0.002346641199857667,0.002346641199857667,0.0,0.002346641199857667,0.0,1,0,0.07,minimize,True
stats.chi_squared_test.marginal,0.9478828321814865,0.9478828321814865,0.9478828321814865,0.0,0.9478828321814865,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9828168102426345,0.9828168102426345,0.9828168102426345,0.0,0.9828168102426345,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9856680536292186,0.9856680536292186,0.9856680536292186,0.0,0.9856680536292186,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.0001536082222292046,0.0001536082222292046,0.0001536082222292046,0.0,0.0001536082222292046,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.0747832408043097,0.0747832408043097,0.0747832408043097,0.0,0.0747832408043097,0.0,1,0,0.14,minimize,True
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.04,maximize,True
stats.prdc.recall,0.9697950377562028,0.9697950377562028,0.9697950377562028,0.0,0.9697950377562028,0.0,1,0,0.04,maximize,True
stats.prdc.density,1.001294498381877,1.001294498381877,1.001294498381877,0.0,1.001294498381877,0.0,1,0,0.04,maximize,True
stats.prdc.coverage,0.9697950377562028,0.9697950377562028,0.9697950377562028,0.0,0.9697950377562028,0.0,1,0,0.04,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9937184590013516,0.9937184590013516,0.9937184590013516,0.0,0.9937184590013516,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.9823655593993726,0.9823655593993726,0.9823655593993726,0.0,0.9823655593993726,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.05285868392664509,0.05285868392664509,0.05285868392664509,0.0,0.05285868392664509,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.9503056454512765,0.9503056454512765,0.9503056454512765,0.0,0.9503056454512765,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.9906657243115228,0.9906657243115228,0.9906657243115228,0.0,0.9906657243115228,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.061488673139158574,0.061488673139158574,0.061488673139158574,0.0,0.061488673139158574,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,2.1666666630555556,2.1666666630555556,2.1666666630555556,0.0,2.1666666630555556,0.0,1,0,0.36,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.65,maximize,True
privacy.k-anonymization.syn,7.00000001,7.00000001,7.00000001,0.0,7.00000001,0.0,1,0,0.65,maximize,True
privacy.k-map.score,6.0,6.0,6.0,0.0,6.0,0.0,1,0,0.33,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.65,maximize,True
privacy.distinct l-diversity.syn,7.00000001,7.00000001,7.00000001,0.0,7.00000001,0.0,1,0,0.65,maximize,True
privacy.identifiability_score.score,0.9288025889967637,0.9288025889967637,0.9288025889967637,0.0,0.9288025889967637,0.0,1,0,0.14,minimize,True
privacy.identifiability_score.score_OC,0.9309600862998921,0.9309600862998921,0.9309600862998921,0.0,0.9309600862998921,0.0,1,0,0.14,minimize,True
