index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.02114709365462278,0.02114709365462278,0.02114709365462278,0.0,0.02114709365462278,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.985,0.985,0.985,0.0,0.985,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.016642439748838916,0.016642439748838916,0.016642439748838916,0.0,0.016642439748838916,0.0,1,0,0.07,minimize,False
stats.chi_squared_test.marginal,0.9774458914242175,0.9774458914242175,0.9774458914242175,0.0,0.9774458914242175,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.9601526699959143,0.9601526699959143,0.9601526699959143,0.0,0.9601526699959143,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.9048571428571428,0.9048571428571428,0.9048571428571428,0.0,0.9048571428571428,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.001999999999775376,0.001999999999775376,0.001999999999775376,0.0,0.001999999999775376,0.0,1,0,0.08,minimize,False
stats.wasserstein_dist.joint,0.6115643172618945,0.6115643172618945,0.6115643172618945,0.0,0.6115643172618945,0.0,1,0,0.14,minimize,False
stats.prdc.precision,0.96,0.96,0.96,0.0,0.96,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.998,0.998,0.998,0.0,0.998,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.0,0.9226000000000001,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.96,0.96,0.96,0.0,0.96,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9749816091954023,0.9749816091954023,0.9749816091954023,0.0,0.9749816091954023,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.4434000000000001,0.4434000000000001,0.4434000000000001,0.0,0.4434000000000001,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.528,0.528,0.528,0.0,0.528,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.8912,0.8912,0.8912,0.0,0.8912,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.28966666666666663,0.28966666666666663,0.28966666666666663,0.0,0.28966666666666663,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.662,0.662,0.662,0.0,0.662,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,1.87499999765625,1.87499999765625,1.87499999765625,0.0,1.87499999765625,0.0,1,0,0.33,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.64,maximize,False
privacy.k-anonymization.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.64,maximize,False
privacy.k-map.score,3.0,3.0,3.0,0.0,3.0,0.0,1,0,0.31,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.81,maximize,False
privacy.distinct l-diversity.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.81,maximize,False
privacy.identifiability_score.score,0.448,0.448,0.448,0.0,0.448,0.0,1,0,0.03,minimize,False
privacy.identifiability_score.score_OC,0.457,0.457,0.457,0.0,0.457,0.0,1,0,0.03,minimize,False
