index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.01240827559147776,0.01240827559147776,0.01240827559147776,0.0,0.01240827559147776,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.015072221712942742,0.015072221712942742,0.015072221712942742,0.0,0.015072221712942742,0.0,1,0,0.07,minimize,True
stats.chi_squared_test.marginal,0.9234682066439103,0.9234682066439103,0.9234682066439103,0.0,0.9234682066439103,0.0,1,0,0.01,maximize,True
stats.inv_kl_divergence.marginal,0.9519930400186778,0.9519930400186778,0.9519930400186778,0.0,0.9519930400186778,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9145220116093902,0.9145220116093902,0.9145220116093902,0.0,0.9145220116093902,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.002157497264723206,0.002157497264723206,0.002157497264723206,0.0,0.002157497264723206,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.6371037791967304,0.6371037791967304,0.6371037791967304,0.0,0.6371037791967304,0.0,1,0,0.14,minimize,True
stats.prdc.precision,0.982740021574973,0.982740021574973,0.982740021574973,0.0,0.982740021574973,0.0,1,0,0.04,maximize,True
stats.prdc.recall,0.9611650485436893,0.9611650485436893,0.9611650485436893,0.0,0.9611650485436893,0.0,1,0,0.04,maximize,True
stats.prdc.density,0.9831715210355988,0.9831715210355988,0.9831715210355988,0.0,0.9831715210355988,0.0,1,0,0.04,maximize,True
stats.prdc.coverage,0.9341963322545846,0.9341963322545846,0.9341963322545846,0.0,0.9341963322545846,0.0,1,0,0.04,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9799055164974148,0.9799055164974148,0.9799055164974148,0.0,0.9799055164974148,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4740740740740741,0.4740740740740741,0.4740740740740741,0.0,0.4740740740740741,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.517799352750809,0.517799352750809,0.517799352750809,0.0,0.517799352750809,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.8461704422869472,0.8461704422869472,0.8461704422869472,0.0,0.8461704422869472,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.28176914778856543,0.28176914778856543,0.28176914778856543,0.0,0.28176914778856543,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.6084142394822006,0.6084142394822006,0.6084142394822006,0.0,0.6084142394822006,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,4.333333318888889,4.333333318888889,4.333333318888889,0.0,4.333333318888889,0.0,1,0,0.43,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.56,maximize,True
privacy.k-anonymization.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,1,0,0.56,maximize,True
privacy.k-map.score,3.0,3.0,3.0,0.0,3.0,0.0,1,0,0.38,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.73,maximize,True
privacy.distinct l-diversity.syn,6.00000001,6.00000001,6.00000001,0.0,6.00000001,0.0,1,0,0.73,maximize,True
privacy.identifiability_score.score,0.4617044228694714,0.4617044228694714,0.4617044228694714,0.0,0.4617044228694714,0.0,1,0,0.15,minimize,True
privacy.identifiability_score.score_OC,0.47249190938511326,0.47249190938511326,0.47249190938511326,0.0,0.47249190938511326,0.0,1,0,0.15,minimize,True
