index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.07058336874567328,0.07058336874567328,0.07058336874567328,0.0,0.07058336874567328,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.959,0.959,0.959,0.0,0.959,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.028463307846668336,0.028463307846668336,0.028463307846668336,0.0,0.028463307846668336,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.8468236061552055,0.8468236061552055,0.8468236061552055,0.0,0.8468236061552055,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.8695585089113378,0.8695585089113378,0.8695585089113378,0.0,0.8695585089113378,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.8033333333333333,0.8033333333333333,0.8033333333333333,0.0,0.8033333333333333,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.0023129055919321817,0.0023129055919321817,0.0023129055919321817,0.0,0.0023129055919321817,0.0,1,0,0.07,minimize,False
stats.wasserstein_dist.joint,0.6819381441583892,0.6819381441583892,0.6819381441583892,0.0,0.6819381441583892,0.0,1,0,0.13,minimize,False
stats.prdc.precision,0.994,0.994,0.994,0.0,0.994,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.979,0.979,0.979,0.0,0.979,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.7128000000000001,0.7128000000000001,0.7128000000000001,0.0,0.7128000000000001,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.635,0.635,0.635,0.0,0.635,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.6027333333333333,0.6027333333333333,0.6027333333333333,0.0,0.6027333333333333,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.33106666666666673,0.33106666666666673,0.33106666666666673,0.0,0.33106666666666673,0.0,1,0,0.12,maximize,False
stats.alpha_precision.authenticity_OC,0.614,0.614,0.614,0.0,0.614,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.8495379310344827,0.8495379310344827,0.8495379310344827,0.0,0.8495379310344827,0.0,1,0,0.12,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.20013333333333327,0.20013333333333327,0.20013333333333327,0.0,0.20013333333333327,0.0,1,0,0.12,maximize,False
stats.alpha_precision.authenticity_naive,0.682,0.682,0.682,0.0,0.682,0.0,1,0,0.12,maximize,False
privacy.delta-presence.score,8.74074073750343,8.74074073750343,8.74074073750343,0.0,8.74074073750343,0.0,1,0,0.38,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.64,maximize,False
privacy.k-anonymization.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.64,maximize,False
privacy.k-map.score,8.0,8.0,8.0,0.0,8.0,0.0,1,0,0.43,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.73,maximize,False
privacy.distinct l-diversity.syn,5.00000001,5.00000001,5.00000001,0.0,5.00000001,0.0,1,0,0.73,maximize,False
privacy.identifiability_score.score,0.171,0.171,0.171,0.0,0.171,0.0,1,0,0.07,minimize,False
privacy.identifiability_score.score_OC,0.269,0.269,0.269,0.0,0.269,0.0,1,0,0.07,minimize,False
