index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.020624450937511238,0.020624450937511238,0.020624450937511238,0.0,0.020624450937511238,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.048436470645132707,0.048436470645132707,0.048436470645132707,0.0,0.048436470645132707,0.0,1,0,0.08,minimize,True
stats.chi_squared_test.marginal,0.3988192993172584,0.3988192993172584,0.3988192993172584,0.0,0.3988192993172584,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.6374089372923701,0.6374089372923701,0.6374089372923701,0.0,0.6374089372923701,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.7190116607592335,0.7190116607592335,0.7190116607592335,0.0,0.7190116607592335,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.00252183332312243,0.00252183332312243,0.00252183332312243,0.0,0.00252183332312243,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.9275860642695117,0.9275860642695117,0.9275860642695117,0.0,0.9275860642695117,0.0,1,0,0.11,minimize,True
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.03,maximize,True
stats.prdc.recall,0.6526429341963322,0.6526429341963322,0.6526429341963322,0.0,0.6526429341963322,0.0,1,0,0.03,maximize,True
stats.prdc.density,0.9980582524271844,0.9980582524271844,0.9980582524271844,0.0,0.9980582524271844,0.0,1,0,0.03,maximize,True
stats.prdc.coverage,0.598705501618123,0.598705501618123,0.598705501618123,0.0,0.598705501618123,0.0,1,0,0.03,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9613188012250616,0.9613188012250616,0.9613188012250616,0.0,0.9613188012250616,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.3572815533980582,0.3572815533980582,0.3572815533980582,0.0,0.3572815533980582,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.6655879180151025,0.6655879180151025,0.6655879180151025,0.0,0.6655879180151025,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.3551959726717009,0.3551959726717009,0.3551959726717009,0.0,0.3551959726717009,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.21826681049982022,0.21826681049982022,0.21826681049982022,0.0,0.21826681049982022,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.7583603020496225,0.7583603020496225,0.7583603020496225,0.0,0.7583603020496225,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,27.249999931875,27.249999931875,27.249999931875,0.0,27.249999931875,0.0,1,0,0.29,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.64,maximize,True
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.64,maximize,True
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.39,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.7,maximize,True
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.7,maximize,True
privacy.identifiability_score.score,0.2297734627831715,0.2297734627831715,0.2297734627831715,0.0,0.2297734627831715,0.0,1,0,0.16,minimize,True
privacy.identifiability_score.score_OC,0.29449838187702265,0.29449838187702265,0.29449838187702265,0.0,0.29449838187702265,0.0,1,0,0.16,minimize,True
