index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.08306252472396113,0.08306252472396113,0.08306252472396113,0.0,0.08306252472396113,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.897,0.897,0.897,0.0,0.897,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.026057367712121172,0.026057367712121172,0.026057367712121172,0.0,0.026057367712121172,0.0,1,0,0.06,minimize,False
stats.chi_squared_test.marginal,0.6847951175920687,0.6847951175920687,0.6847951175920687,0.0,0.6847951175920687,0.0,1,0,0.01,maximize,False
stats.inv_kl_divergence.marginal,0.8183641382768515,0.8183641382768515,0.8183641382768515,0.0,0.8183641382768515,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.8015238095238095,0.8015238095238095,0.8015238095238095,0.0,0.8015238095238095,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.0021405930796175717,0.0021405930796175717,0.0021405930796175717,0.0,0.0021405930796175717,0.0,1,0,0.07,minimize,False
stats.wasserstein_dist.joint,0.5710998130255359,0.5710998130255359,0.5710998130255359,0.0,0.5710998130255359,0.0,1,0,0.14,minimize,False
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.04,maximize,False
stats.prdc.recall,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.405,0.405,0.405,0.0,0.405,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.043,0.043,0.043,0.0,0.043,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9016896551724138,0.9016896551724138,0.9016896551724138,0.0,0.9016896551724138,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.0076666666666667105,0.0076666666666667105,0.0076666666666667105,0.0,0.0076666666666667105,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_OC,0.975,0.975,0.975,0.0,0.975,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.6768666666666666,0.6768666666666666,0.6768666666666666,0.0,0.6768666666666666,0.0,1,0,0.11,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.3268666666666665,0.3268666666666665,0.3268666666666665,0.0,0.3268666666666665,0.0,1,0,0.11,maximize,False
stats.alpha_precision.authenticity_naive,0.625,0.625,0.625,0.0,0.625,0.0,1,0,0.11,maximize,False
privacy.delta-presence.score,256.99999743000006,256.99999743000006,256.99999743000006,0.0,256.99999743000006,0.0,1,0,0.38,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.55,maximize,False
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.55,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.36,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.64,maximize,False
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.64,maximize,False
privacy.identifiability_score.score,0.008,0.008,0.008,0.0,0.008,0.0,1,0,0.03,minimize,False
privacy.identifiability_score.score_OC,0.013,0.013,0.013,0.0,0.013,0.0,1,0,0.03,minimize,False
