index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.056638901211700315,0.056638901211700315,0.056638901211700315,0.0,0.056638901211700315,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9449838187702265,0.9449838187702265,0.9449838187702265,0.0,0.9449838187702265,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.012002957646993667,0.012002957646993667,0.012002957646993667,0.0,0.012002957646993667,0.0,1,0,0.07,minimize,True
stats.chi_squared_test.marginal,0.837293613707062,0.837293613707062,0.837293613707062,0.0,0.837293613707062,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.8675254477500426,0.8675254477500426,0.8675254477500426,0.0,0.8675254477500426,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9148815944932451,0.9148815944932451,0.9148815944932451,0.0,0.9148815944932451,0.0,1,0,0.01,maximize,True
stats.max_mean_discrepancy.joint,0.002163231677129623,0.002163231677129623,0.002163231677129623,0.0,0.002163231677129623,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.46956305924941766,0.46956305924941766,0.46956305924941766,0.0,0.46956305924941766,0.0,1,0,0.15,minimize,True
stats.prdc.precision,0.9687162891046386,0.9687162891046386,0.9687162891046386,0.0,0.9687162891046386,0.0,1,0,0.04,maximize,True
stats.prdc.recall,0.20388349514563106,0.20388349514563106,0.20388349514563106,0.0,0.20388349514563106,0.0,1,0,0.04,maximize,True
stats.prdc.density,0.968284789644013,0.968284789644013,0.968284789644013,0.0,0.968284789644013,0.0,1,0,0.04,maximize,True
stats.prdc.coverage,0.04854368932038835,0.04854368932038835,0.04854368932038835,0.0,0.04854368932038835,0.0,1,0,0.04,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9091693635382956,0.9091693635382956,0.9091693635382956,0.0,0.9091693635382956,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.4086299892125135,0.4086299892125135,0.4086299892125135,0.0,0.4086299892125135,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.5318230852211435,0.5318230852211435,0.5318230852211435,0.0,0.5318230852211435,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.8084861560589716,0.8084861560589716,0.8084861560589716,0.0,0.8084861560589716,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.49658396260338,0.49658396260338,0.49658396260338,0.0,0.49658396260338,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.5361380798274002,0.5361380798274002,0.5361380798274002,0.0,0.5361380798274002,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,108.99999891000002,108.99999891000002,108.99999891000002,0.0,108.99999891000002,0.0,1,0,0.35,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.62,maximize,True
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.62,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.43,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.85,maximize,True
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.85,maximize,True
privacy.identifiability_score.score,0.021574973031283712,0.021574973031283712,0.021574973031283712,0.0,0.021574973031283712,0.0,1,0,0.13,minimize,True
privacy.identifiability_score.score_OC,0.3861920172599784,0.3861920172599784,0.3861920172599784,0.0,0.3861920172599784,0.0,1,0,0.13,minimize,True
