index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.01928547275117823,0.01928547275117823,0.01928547275117823,0.0,0.01928547275117823,0.0,1,0,0.01,minimize,False
sanity.close_values_probability.score,0.987,0.987,0.987,0.0,0.987,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.02100529765648364,0.02100529765648364,0.02100529765648364,0.0,0.02100529765648364,0.0,1,0,0.07,minimize,False
stats.chi_squared_test.marginal,0.758232606638833,0.758232606638833,0.758232606638833,0.0,0.758232606638833,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.885553713062383,0.885553713062383,0.885553713062383,0.0,0.885553713062383,0.0,1,0,0.01,maximize,False
stats.ks_test.marginal,0.8746666666666665,0.8746666666666665,0.8746666666666665,0.0,0.8746666666666665,0.0,1,0,0.02,maximize,False
stats.max_mean_discrepancy.joint,0.002000001600804904,0.002000001600804904,0.002000001600804904,0.0,0.002000001600804904,0.0,1,0,0.08,minimize,False
stats.wasserstein_dist.joint,0.5867411339043381,0.5867411339043381,0.5867411339043381,0.0,0.5867411339043381,0.0,1,0,0.18,minimize,False
stats.prdc.precision,0.979,0.979,0.979,0.0,0.979,0.0,1,0,0.04,maximize,False
stats.prdc.recall,0.991,0.991,0.991,0.0,0.991,0.0,1,0,0.04,maximize,False
stats.prdc.density,0.9752000000000001,0.9752000000000001,0.9752000000000001,0.0,0.9752000000000001,0.0,1,0,0.04,maximize,False
stats.prdc.coverage,0.889,0.889,0.889,0.0,0.889,0.0,1,0,0.04,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9312666666666667,0.9312666666666667,0.9312666666666667,0.0,0.9312666666666667,0.0,1,0,1.42,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.46386666666666654,0.46386666666666654,0.46386666666666654,0.0,0.46386666666666654,0.0,1,0,1.42,maximize,False
stats.alpha_precision.authenticity_OC,0.509,0.509,0.509,0.0,0.509,0.0,1,0,1.42,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.7089999999999999,0.7089999999999999,0.7089999999999999,0.0,0.7089999999999999,0.0,1,0,1.42,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.4016666666666666,0.4016666666666666,0.4016666666666666,0.0,0.4016666666666666,0.0,1,0,1.42,maximize,False
stats.alpha_precision.authenticity_naive,0.601,0.601,0.601,0.0,0.601,0.0,1,0,1.42,maximize,False
privacy.delta-presence.score,12.999999870000002,12.999999870000002,12.999999870000002,0.0,12.999999870000002,0.0,1,0,0.43,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.66,maximize,False
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.66,maximize,False
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.33,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.69,maximize,False
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,1.00000001,0.0,1,0,0.69,maximize,False
privacy.identifiability_score.score,0.42,0.42,0.42,0.0,0.42,0.0,1,0,0.08,minimize,False
privacy.identifiability_score.score_OC,0.453,0.453,0.453,0.0,0.453,0.0,1,0,0.08,minimize,False
