index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.018600694860572833,0.018600694860572833,0.018600694860572833,0.0,0.018600694860572833,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9676375404530745,0.9676375404530745,0.9676375404530745,0.0,0.9676375404530745,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.010667850491779733,0.010667850491779733,0.010667850491779733,0.0,0.010667850491779733,0.0,1,0,0.08,minimize,True
stats.chi_squared_test.marginal,0.7827502876112765,0.7827502876112765,0.7827502876112765,0.0,0.7827502876112765,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.9330706248020804,0.9330706248020804,0.9330706248020804,0.0,0.9330706248020804,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9299840756151437,0.9299840756151437,0.9299840756151437,0.0,0.9299840756151437,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.0021574973263229955,0.0021574973263229955,0.0021574973263229955,0.0,0.0021574973263229955,0.0,1,0,0.06,minimize,True
stats.wasserstein_dist.joint,0.46037788441233873,0.46037788441233873,0.46037788441233873,0.0,0.46037788441233873,0.0,1,0,0.16,minimize,True
stats.prdc.precision,0.9751887810140237,0.9751887810140237,0.9751887810140237,0.0,0.9751887810140237,0.0,1,0,0.04,maximize,True
stats.prdc.recall,0.9471413160733549,0.9471413160733549,0.9471413160733549,0.0,0.9471413160733549,0.0,1,0,0.04,maximize,True
stats.prdc.density,0.9987055016181231,0.9987055016181231,0.9987055016181231,0.0,0.9987055016181231,0.0,1,0,0.04,maximize,True
stats.prdc.coverage,0.7928802588996764,0.7928802588996764,0.7928802588996764,0.0,0.7928802588996764,0.0,1,0,0.04,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.9551240560949299,0.9551240560949299,0.9551240560949299,0.0,0.9551240560949299,0.0,1,0,1.33,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.48550880978065436,0.48550880978065436,0.48550880978065436,0.0,0.48550880978065436,0.0,1,0,1.33,maximize,True
stats.alpha_precision.authenticity_OC,0.5134843581445523,0.5134843581445523,0.5134843581445523,0.0,0.5134843581445523,0.0,1,0,1.33,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.8122258180510608,0.8122258180510608,0.8122258180510608,0.0,0.8122258180510608,0.0,1,0,1.33,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.5226177633944625,0.5226177633944625,0.5226177633944625,0.0,0.5226177633944625,0.0,1,0,1.33,maximize,True
stats.alpha_precision.authenticity_naive,0.511326860841424,0.511326860841424,0.511326860841424,0.0,0.511326860841424,0.0,1,0,1.33,maximize,True
privacy.delta-presence.score,21.99999989,21.99999989,21.99999989,0.0,21.99999989,0.0,1,0,0.31,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.41,maximize,True
privacy.k-anonymization.syn,15.00000001,15.00000001,15.00000001,0.0,15.00000001,0.0,1,0,0.41,maximize,True
privacy.k-map.score,2.0,2.0,2.0,0.0,2.0,0.0,1,0,0.28,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.49,maximize,True
privacy.distinct l-diversity.syn,15.00000001,15.00000001,15.00000001,0.0,15.00000001,0.0,1,0,0.49,maximize,True
privacy.identifiability_score.score,0.40129449838187703,0.40129449838187703,0.40129449838187703,0.0,0.40129449838187703,0.0,1,0,0.14,minimize,True
privacy.identifiability_score.score_OC,0.47249190938511326,0.47249190938511326,0.47249190938511326,0.0,0.47249190938511326,0.0,1,0,0.14,minimize,True
