index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.25181107622020493,0.25181107622020493,0.25181107622020493,0.0,0.25181107622020493,0.0,1,0,0.0,minimize,False
sanity.close_values_probability.score,0.447,0.447,0.447,0.0,0.447,0.0,1,0,0.0,maximize,False
stats.jensenshannon_dist.marginal,0.053119669589374814,0.053119669589374814,0.053119669589374814,0.0,0.053119669589374814,0.0,1,0,0.0,minimize,False
stats.chi_squared_test.marginal,0.8314473285870285,0.8314473285870285,0.8314473285870285,0.0,0.8314473285870285,0.0,1,0,0.0,maximize,False
stats.inv_kl_divergence.marginal,0.7646029014971418,0.7646029014971418,0.7646029014971418,0.0,0.7646029014971418,0.0,1,0,0.0,maximize,False
stats.ks_test.marginal,0.6903333333333334,0.6903333333333334,0.6903333333333334,0.0,0.6903333333333334,0.0,1,0,0.0,maximize,False
stats.max_mean_discrepancy.joint,0.0020000055185346623,0.0020000055185346623,0.0020000055185346623,0.0,0.0020000055185346623,0.0,1,0,0.0,minimize,False
stats.wasserstein_dist.joint,2.112604511649583,2.112604511649583,2.112604511649583,0.0,2.112604511649583,0.0,1,0,0.0,minimize,False
stats.prdc.precision,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,False
stats.prdc.recall,0.972,0.972,0.972,0.0,0.972,0.0,1,0,0.0,maximize,False
stats.prdc.density,0.945,0.945,0.945,0.0,0.945,0.0,1,0,0.0,maximize,False
stats.prdc.coverage,0.639,0.639,0.639,0.0,0.639,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.6733333333333333,0.6733333333333333,0.6733333333333333,0.0,0.6733333333333333,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.2300000000000001,0.2300000000000001,0.2300000000000001,0.0,0.2300000000000001,0.0,1,0,0.0,maximize,False
stats.alpha_precision.authenticity_OC,0.613,0.613,0.613,0.0,0.613,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.18379999999999996,0.18379999999999996,0.18379999999999996,0.0,0.18379999999999996,0.0,1,0,0.0,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.0007333333333332526,0.0007333333333332526,0.0007333333333332526,0.0,0.0007333333333332526,0.0,1,0,0.0,maximize,False
stats.alpha_precision.authenticity_naive,0.986,0.986,0.986,0.0,0.986,0.0,1,0,0.0,maximize,False
privacy.delta-presence.score,6.210526314155125,6.210526314155125,6.210526314155125,0.0,6.210526314155125,0.0,1,0,0.0,maximize,False
privacy.k-anonymization.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.0,maximize,False
privacy.k-anonymization.syn,56.00000001,56.00000001,56.00000001,0.0,56.00000001,0.0,1,0,0.0,maximize,False
privacy.k-map.score,34.0,34.0,34.0,0.0,34.0,0.0,1,0,0.0,maximize,False
privacy.distinct l-diversity.gt,5.0,5.0,5.0,0.0,5.0,0.0,1,0,0.0,maximize,False
privacy.distinct l-diversity.syn,56.00000001,56.00000001,56.00000001,0.0,56.00000001,0.0,1,0,0.0,maximize,False
privacy.identifiability_score.score,0.268,0.268,0.268,0.0,0.268,0.0,1,0,0.0,minimize,False
privacy.identifiability_score.score_OC,0.295,0.295,0.295,0.0,0.295,0.0,1,0,0.0,minimize,False
