index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.13636363636363635,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.012957542193887292,0.012957542193887292,0.012957542193887292,0.0,0.012957542193887292,0.0,1,0,0.01,minimize,True
sanity.close_values_probability.score,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.9805825242718447,0.0,1,0,0.01,maximize,True
stats.jensenshannon_dist.marginal,0.053170479804239404,0.053170479804239404,0.053170479804239404,0.0,0.053170479804239404,0.0,1,0,0.0,minimize,True
stats.chi_squared_test.marginal,0.7894054658714849,0.7894054658714849,0.7894054658714849,0.0,0.7894054658714849,0.0,1,0,0.0,maximize,True
stats.inv_kl_divergence.marginal,0.7702622849348331,0.7702622849348331,0.7702622849348331,0.0,0.7702622849348331,0.0,1,0,0.0,maximize,True
stats.ks_test.marginal,0.6976421636615812,0.6976421636615812,0.6976421636615812,0.0,0.6976421636615812,0.0,1,0,0.0,maximize,True
stats.max_mean_discrepancy.joint,0.002157497303176957,0.002157497303176957,0.002157497303176957,0.0,0.002157497303176957,0.0,1,0,0.0,minimize,True
stats.wasserstein_dist.joint,2.0722582842270856,2.0722582842270856,2.0722582842270856,0.0,2.0722582842270856,0.0,1,0,0.0,minimize,True
stats.prdc.precision,0.8770226537216829,0.8770226537216829,0.8770226537216829,0.0,0.8770226537216829,0.0,1,0,0.0,maximize,True
stats.prdc.recall,0.9600862998921251,0.9600862998921251,0.9600862998921251,0.0,0.9600862998921251,0.0,1,0,0.0,maximize,True
stats.prdc.density,0.7523193096008631,0.7523193096008631,0.7523193096008631,0.0,0.7523193096008631,0.0,1,0,0.0,maximize,True
stats.prdc.coverage,0.5447680690399137,0.5447680690399137,0.5447680690399137,0.0,0.5447680690399137,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.5460625674217907,0.5460625674217907,0.5460625674217907,0.0,0.5460625674217907,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.1613807982740022,0.1613807982740022,0.1613807982740022,0.0,0.1613807982740022,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.7454153182308522,0.7454153182308522,0.7454153182308522,0.0,0.7454153182308522,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.1889248471772743,0.1889248471772743,0.1889248471772743,0.0,0.1889248471772743,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.0033800791082344572,0.0033800791082344572,0.0033800791082344572,0.0,0.0033800791082344572,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,0.9913700107874865,0.9913700107874865,0.9913700107874865,0.0,0.9913700107874865,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,5.142857141632653,5.142857141632653,5.142857141632653,0.0,5.142857141632653,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.syn,41.00000001,41.00000001,41.00000001,0.0,41.00000001,0.0,1,0,0.0,maximize,True
privacy.k-map.score,42.0,42.0,42.0,0.0,42.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.gt,11.0,11.0,11.0,0.0,11.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,41.00000001,41.00000001,41.00000001,0.0,41.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.2297734627831715,0.2297734627831715,0.2297734627831715,0.0,0.2297734627831715,0.0,1,0,0.0,minimize,True
privacy.identifiability_score.score_OC,0.20711974110032363,0.20711974110032363,0.20711974110032363,0.0,0.20711974110032363,0.0,1,0,0.0,minimize,True
