index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,False
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.01,minimize,False
sanity.nearest_syn_neighbor_distance.mean,0.004853631625676772,0.004853631625676772,0.004853631625676772,0.0,0.004853631625676772,0.0,1,0,0.06,minimize,False
sanity.close_values_probability.score,0.9984,0.9984,0.9984,0.0,0.9984,0.0,1,0,0.06,maximize,False
stats.jensenshannon_dist.marginal,0.01024118461146519,0.01024118461146519,0.01024118461146519,0.0,0.01024118461146519,0.0,1,0,0.05,minimize,False
stats.chi_squared_test.marginal,0.9056679630108829,0.9056679630108829,0.9056679630108829,0.0,0.9056679630108829,0.0,1,0,0.02,maximize,False
stats.inv_kl_divergence.marginal,0.936650822291475,0.936650822291475,0.936650822291475,0.0,0.936650822291475,0.0,1,0,0.02,maximize,False
stats.ks_test.marginal,0.9148461538461539,0.9148461538461539,0.9148461538461539,0.0,0.9148461538461539,0.0,1,0,0.09,maximize,False
stats.max_mean_discrepancy.joint,0.00014987071282410343,0.00014987071282410343,0.00014987071282410343,0.0,0.00014987071282410343,0.0,1,0,10.32,minimize,False
stats.wasserstein_dist.joint,0.07205714992147498,0.07205714992147498,0.07205714992147498,0.0,0.07205714992147498,0.0,1,0,3.85,minimize,False
stats.prdc.precision,0.5964,0.5964,0.5964,0.0,0.5964,0.0,1,0,8.83,maximize,False
stats.prdc.recall,0.9622666666666667,0.9622666666666667,0.9622666666666667,0.0,0.9622666666666667,0.0,1,0,8.83,maximize,False
stats.prdc.density,0.32120000000000004,0.32120000000000004,0.32120000000000004,0.0,0.32120000000000004,0.0,1,0,8.83,maximize,False
stats.prdc.coverage,0.352,0.352,0.352,0.0,0.352,0.0,1,0,8.83,maximize,False
stats.alpha_precision.delta_precision_alpha_OC,0.9953313409961686,0.9953313409961686,0.9953313409961686,0.0,0.9953313409961686,0.0,1,0,0.98,maximize,False
stats.alpha_precision.delta_coverage_beta_OC,0.252368888888889,0.252368888888889,0.252368888888889,0.0,0.252368888888889,0.0,1,0,0.98,maximize,False
stats.alpha_precision.authenticity_OC,0.7476666666666667,0.7476666666666667,0.7476666666666667,0.0,0.7476666666666667,0.0,1,0,0.98,maximize,False
stats.alpha_precision.delta_precision_alpha_naive,0.9145066666666667,0.9145066666666667,0.9145066666666667,0.0,0.9145066666666667,0.0,1,0,0.98,maximize,False
stats.alpha_precision.delta_coverage_beta_naive,0.028026666666666644,0.028026666666666644,0.028026666666666644,0.0,0.028026666666666644,0.0,1,0,0.98,maximize,False
stats.alpha_precision.authenticity_naive,0.9276,0.9276,0.9276,0.0,0.9276,0.0,1,0,0.98,maximize,False
privacy.delta-presence.score,3.538461535739645,3.538461535739645,3.538461535739645,0.0,3.538461535739645,0.0,1,0,0.47,maximize,False
privacy.k-anonymization.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.95,maximize,False
privacy.k-anonymization.syn,256.00000001,256.00000001,256.00000001,0.0,256.00000001,0.0,1,0,0.95,maximize,False
privacy.k-map.score,13.0,13.0,13.0,0.0,13.0,0.0,1,0,0.48,maximize,False
privacy.distinct l-diversity.gt,46.0,46.0,46.0,0.0,46.0,0.0,1,0,0.98,maximize,False
privacy.distinct l-diversity.syn,256.00000001,256.00000001,256.00000001,0.0,256.00000001,0.0,1,0,0.98,maximize,False
privacy.identifiability_score.score,0.04873333333333333,0.04873333333333333,0.04873333333333333,0.0,0.04873333333333333,0.0,1,0,0.44,minimize,False
privacy.identifiability_score.score_OC,0.24746666666666667,0.24746666666666667,0.24746666666666667,0.0,0.24746666666666667,0.0,1,0,0.44,minimize,False
